district,area_sqkm,all_sex,male,female,transgender,sex_ratio,pop_density_sqkm,urban_proportion,avg_hhsize,population1998,pop_growth_avg_1998_2017
BANNU DISTRICT,1227,1167071,592625,574422,24,103.17,951.16,4.28,9.34,675667,2.91
LAKKI MARWAT DISTRICT,3164,875744,441717,434023,4,101.77,276.78,10.19,8.710000000000001,490025,3.1
DERA ISMAIL KHAN DISTRICT,7326,1625088,837685,787301,102,106.4,221.82,22.17,7.96,852995,3.44
TANK DISTRICT,1679,390626,200100,190499,27,105.04,232.65,12.05,8.85,238216,2.63
ABBOTTABAD DISTRICT,1967,1333089,677857,655196,36,103.46,677.73,22.05,6.08,880666,2.2
BATAGRAM DISTRICT,1301,476749,238402,238312,35,100.04,366.45,,6.88,307278,2.33
HARIPUR DISTRICT,1725,1001515,498202,503266,47,98.98999999999999,580.59,13.29,6.07,692228,1.96
MANSEHRA DISTRICT,4125,1555742,771976,783509,257,98.53,377.15,9.31,6.51,978157,2.47
TORGHAR DISTRICT,454,171349,86059,85274,16,100.92,377.42,,6.49,174682,-.1
KOHISTAN DISTRICT,7492,784711,424643,360055,13,117.94,104.74,,7.84,472570,2.7
HANGU DISTRICT,1097,518811,249044,269732,35,92.33,472.94,19.76,10.29,314529,2.66
KARAK DISTRICT,3371,705362,348315,357004,43,97.56999999999999,209.24,7.24,9.380000000000001,430796,2.62
KOHAT DISTRICT,2545,992427,495782,496539,106,99.84999999999999,389.95,27.2,8,562644,3.03
MARDAN DISTRICT,1632,2373399,1201122,1172215,62,102.47,1454.29,18.55,7.57,1460100,2.59
SWABI DISTRICT,1543,1625477,815828,809550,99,100.78,1053.45,16.98,7.56,1026804,2.44
CHARSADDA DISTRICT,996,1610960,817651,793298,11,103.07,1617.43,16.77,7.3,1022364,2.42
NOWSHERA DISTRICT,1748,1520995,783035,737834,126,106.13,870.13,22.32,7.52,874373,2.95
PESHAWAR DISTRICT,1257,4267198,2198005,2068568,625,106.26,3394.75,46.16,8.369999999999999,2026851,3.99
BUNER DISTRICT,1865,895460,445872,449555,33,99.18000000000001,480.14,,9.359999999999999,506048,3.04
CHITRAL DISTRICT,14850,447625,225669,221934,22,101.68,30.14,11.12,7.23,318689,1.8
SHANGLA DISTRICT,1586,759609,386082,373508,19,103.37,478.95,0,8.44,434563,2.98
SWAT DISTRICT,5337,2308624,1171947,1136544,133,103.11,432.57,30.14,8.369999999999999,1257602,3.24
LOWER DIR DISTRICT,1583,1436082,709829,726203,50,97.75,907.1900000000001,2.81,9.17,779056,3.27
UPPER DIR DISTRICT,3699,947401,466594,480766,41,97.05,256.12,4.65,7.86,514451,3.26
MALAKAND PROTECTED AREA,952,717806,360440,357333,33,100.87,754,9.43,7.85,452291,2.46
KHYBER AGENCY,2576,984246,504502,479669,75,105.18,382.08,9.9,8.49,546730,3.14
KURRAM AGENCY,3380,615372,306935,308393,44,99.53,182.06,6.18,8.81,448310,1.68
MOHMAND AGENCY,2296,474345,241549,232755,41,103.78,206.6,,9.369999999999999,334453,1.85
NORTH WAZIRISTAN AGENCY,4707,540546,277749,262764,33,105.7,114.84,.8100000000000001,8.460000000000001,361246,2.14
ORAKZAI AGENCY,1538,254303,127564,126728,11,100.66,165.35,,8,225441,.63
SOUTH WAZIRISTAN A,6620,675215,355611,319554,50,111.28,102,,7.98,429841,2.4
BAJAUR AGENCY,1290,1090987,556036,534895,56,103.95,845.73,,8.859999999999999,595227,3.23
FR BANNU,745,43112,22286,20826,,107.01,57.87,,9.74,19593,4.23
FR D.I.KHAN,2008,68506,35356,33146,4,106.67,34.12,,9.56,38990,3.01
FR KOHAT,446,118839,59983,58851,5,101.92,266.46,,8.09,88456,1.56
FR LAKKI MARWAT,132,26394,13685,12709,,107.68,199.95,,7.84,6987,7.23
FR PESHAWAR,261,64761,31676,33081,4,95.75,248.13,,8.98,53841,.97
FR TANK,1221,36418,18783,17632,3,106.53,29.83,,8.43,27216,1.54
ATTOCK DISTRICT,6857,1886378,938650,947597,131,99.06,275.1,26.02,6.09,1274935,2.08
CHAKWAL DISTRICT,6525,1495463,723178,772166,119,93.66,229.1897,18.96456,5.55,1083725,1.71
JHELUM DISTRICT,3587,1222403,601406,620862,135,96.87,340.79,28.98,5.88,936957,1.41
RAWALPINDI DISTRICT,5285,5402380,2736180,2665089,1111,102.67,1022.21,55.64,6.01,3363911,2.52
