district,tehsil,locality,all_sex,male,female,transgender,sex_ratio,avg_hhsize,population1998,pop_growth_avg_1998_2017
BANNU DISTRICT,BANNU TEHSIL,RURAL,908155,457808,450324,23,101.66,9.16,525281,2.92
BANNU DISTRICT,BANNU TEHSIL,URBAN,49948,27628,22319,1,123.79,7.42,47676,.24
BANNU DISTRICT,DOMEL TEHSIL,RURAL,208968,107189,101779,,105.32,10.98,102710,3.8
BANNU DISTRICT,DOMEL TEHSIL,URBAN,,,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,RURAL,519601,261879,257719,3,101.61,8.470000000000001,309467,2.76
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,URBAN,59273,30735,28538,,107.7,7.24,30467,3.56
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,RURAL,266891,134073,132817,1,100.95,9.65,133680,3.7
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,URBAN,29979,15030,14949,,100.54,9.220000000000001,16411,3.22
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,RURAL,124318,64533,59784,1,107.94,8.220000000000001,73658,2.79
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,URBAN,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,RURAL,507431,260671,246730,30,105.65,8.619999999999999,270676,3.36
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,URBAN,218018,114116,103865,37,109.87,6.54,92114,4.63
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,RURAL,77139,39956,37181,2,107.46,8.67,48143,2.51
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,URBAN,24753,12750,12003,,106.22,6.91,19113,1.37
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,RURAL,303520,154668,148834,18,103.92,7.64,204009,2.11
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,URBAN,77566,40040,37521,5,106.71,8.27,14580,9.18
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,RURAL,252462,130064,122390,8,106.27,8.41,130702,3.52
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,URBAN,39881,20887,18993,1,109.97,7.75,,
TANK DISTRICT,TANK TEHSIL,RURAL,343562,175264,168273,25,104.15,8.98,202475,2.82
TANK DISTRICT,TANK TEHSIL,URBAN,47064,24836,22226,2,111.74,8.029999999999999,35741,1.46
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,RURAL,737167,372331,364818,18,102.06,5.96,502487,2.03
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,URBAN,245670,130649,115003,18,113.6,6.12,126279,3.56
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,RURAL,301937,150261,151676,,99.06999999999999,6.3,220275,1.67
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,URBAN,48315,24616,23699,,103.87,6.6,31625,2.25
BATAGRAM DISTRICT,ALLAI TEHSIL,RURAL,180502,90363,90127,12,100.26,6.75,121652,2.09
BATAGRAM DISTRICT,ALLAI TEHSIL,URBAN,,,,,,,,
BATAGRAM DISTRICT,BATAGRAM TEHSIL,RURAL,296247,148039,148185,23,99.90000000000001,6.97,185626,2.49
BATAGRAM DISTRICT,BATAGRAM TEHSIL,URBAN,,,,,,,,
HARIPUR DISTRICT,GHAZI TEHSIL,RURAL,144917,72137,72780,,99.12,5.8,113049,1.31
HARIPUR DISTRICT,GHAZI TEHSIL,URBAN,,,,,,,,
HARIPUR DISTRICT,HARIPUR TEHSIL,RURAL,723498,358270,365211,17,98.09999999999999,6.12,496444,2
HARIPUR DISTRICT,HARIPUR TEHSIL,URBAN,133100,67795,65275,30,103.86,6.1,82735,2.53
MANSEHRA DISTRICT,BALA KOT TEHSIL,RURAL,273257,135039,138200,18,97.70999999999999,6,214630,1.28
MANSEHRA DISTRICT,BALA KOT TEHSIL,URBAN,,,,,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,RURAL,872623,436662,435875,86,100.18,6.51,513599,2.82
MANSEHRA DISTRICT,MANSEHRA TEHSIL,URBAN,144898,73525,71242,131,103.2,6.63,61376,4.62
MANSEHRA DISTRICT,OGHI TEHSIL,RURAL,264964,126750,138192,22,91.72,7.06,188552,1.8
MANSEHRA DISTRICT,OGHI TEHSIL,URBAN,,,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,RURAL,96888,49459,47419,10,104.3,6.47,84628,.71
TORGHAR DISTRICT,JUDBA TEHSIL,URBAN,,,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,RURAL,74461,36600,37855,6,96.68000000000001,6.51,90054,-.99
TORGHAR DISTRICT,KHANDER TEHSIL,URBAN,,,,,,,,
KOHISTAN DISTRICT,DASSU SUB-DIVISION,RURAL,223436,121177,102259,,118.5,8.279999999999999,137519,2.58
KOHISTAN DISTRICT,DASSU SUB-DIVISION,URBAN,,,,,,,,
KOHISTAN DISTRICT,KANDIA SUB-DIVISION,RURAL,83850,45597,38245,8,119.22,7.74,47227,3.06
KOHISTAN DISTRICT,KANDIA SUB-DIVISION,URBAN,,,,,,,,
