district,locality,all_sex,male,female,transgender,sex_ratio,avg_hhsize,population1998,pop_growth_avg_1998_2017
BANNU DISTRICT,RURAL,1117123,564997,552103,23,102.34,9.449999999999999,627991,3.07
BANNU DISTRICT,URBAN,49948,27628,22319,1,123.79,7.42,47676,.24
LAKKI MARWAT DISTRICT,RURAL,786492,395952,390536,4,101.39,8.83,443147,3.06
LAKKI MARWAT DISTRICT,URBAN,89252,45765,43487,,105.24,7.8,46878,3.44
DERA ISMAIL KHAN DISTRICT,RURAL,1264870,649892,614919,59,105.69,8.279999999999999,727188,2.95
DERA ISMAIL KHAN DISTRICT,URBAN,360218,187793,172382,43,108.94,7,125807,5.68
TANK DISTRICT,RURAL,343562,175264,168273,25,104.15,8.98,202475,2.82
TANK DISTRICT,URBAN,47064,24836,22226,2,111.74,8.029999999999999,35741,1.46
ABBOTTABAD DISTRICT,RURAL,1039104,522592,516494,18,101.18,6.05,722762,1.93
ABBOTTABAD DISTRICT,URBAN,293985,155265,138702,18,111.94,6.2,157904,3.32
BATAGRAM DISTRICT,RURAL,476749,238402,238312,35,100.04,6.88,307278,2.33
BATAGRAM DISTRICT,URBAN,,,,,,,,
HARIPUR DISTRICT,RURAL,868415,430407,437991,17,98.27,6.07,609493,1.88
HARIPUR DISTRICT,URBAN,133100,67795,65275,30,103.86,6.1,82735,2.53
MANSEHRA DISTRICT,RURAL,1410844,698451,712267,126,98.06,6.5,916781,2.29
MANSEHRA DISTRICT,URBAN,144898,73525,71242,131,103.2,6.63,61376,4.62
TORGHAR DISTRICT,RURAL,171349,86059,85274,16,100.92,6.49,174682,-.1
TORGHAR DISTRICT,URBAN,,,,,,,,
KOHISTAN DISTRICT,RURAL,784711,424643,360055,13,117.94,7.84,472570,2.7
KOHISTAN DISTRICT,URBAN,,,,,,,,
HANGU DISTRICT,RURAL,416309,198616,217664,29,91.25,10.44,250312,2.71
HANGU DISTRICT,URBAN,102502,50428,52068,6,96.84999999999999,9.73,64217,2.49
KARAK DISTRICT,RURAL,654276,322688,331546,42,97.33,9.380000000000001,402903,2.58
KARAK DISTRICT,URBAN,51086,25627,25458,1,100.66,9.31,27893,3.23
KOHAT DISTRICT,RURAL,722501,353672,368767,62,95.91,8.289999999999999,410731,3.01
KOHAT DISTRICT,URBAN,269926,142110,127772,44,111.22,7.31,151913,3.07
MARDAN DISTRICT,RURAL,1933177,975398,957771,8,101.84,7.62,1164972,2.7
MARDAN DISTRICT,URBAN,440222,225724,214444,54,105.26,7.36,295128,2.12
SWABI DISTRICT,RURAL,1349513,679142,670297,74,101.32,7.58,847590,2.47
SWABI DISTRICT,URBAN,275964,136686,139253,25,98.16,7.43,179214,2.29
CHARSADDA DISTRICT,RURAL,1340756,678713,662036,7,102.52,7.33,829513,2.55
CHARSADDA DISTRICT,URBAN,270204,138938,131262,4,105.85,7.15,192851,1.79
NOWSHERA DISTRICT,RURAL,1181460,598964,582426,70,102.84,7.71,647343,3.21
NOWSHERA DISTRICT,URBAN,339535,184071,155408,56,118.44,6.91,227030,2.14
PESHAWAR DISTRICT,RURAL,2297375,1172995,1124167,213,104.34,8.74,1044035,4.23
PESHAWAR DISTRICT,URBAN,1969823,1025010,944401,412,108.54,7.97,982816,3.72
BUNER DISTRICT,RURAL,895460,445872,449555,33,99.18000000000001,9.359999999999999,506048,3.04
BUNER DISTRICT,URBAN,,,,,,,,
CHITRAL DISTRICT,RURAL,397845,199349,198478,18,100.44,7.26,288067,1.71
CHITRAL DISTRICT,URBAN,49780,26320,23456,4,112.21,6.95,30622,2.59
SHANGLA DISTRICT,RURAL,759609,386082,373508,19,103.37,8.44,434563,2.98
SHANGLA DISTRICT,URBAN,,,,,,,,
SWAT DISTRICT,RURAL,1612803,813754,798984,65,101.85,8.49,1083734,2.11
SWAT DISTRICT,URBAN,695821,358193,337560,68,106.11,8.109999999999999,173868,7.56
LOWER DIR DISTRICT,RURAL,1395768,688978,706745,45,97.48999999999999,9.19,734721,3.43
LOWER DIR DISTRICT,URBAN,40314,20851,19458,5,107.16,8.529999999999999,44335,-.5
UPPER DIR DISTRICT,RURAL,903301,443933,459329,39,96.65000000000001,7.9,491550,3.25
UPPER DIR DISTRICT,URBAN,44100,22661,21437,2,105.71,7.23,22901,3.5
MALAKAND PROTECTED AREA,RURAL,650120,325555,324534,31,100.31,7.84,409112,2.46
MALAKAND PROTECTED AREA,URBAN,67686,34885,32799,2,106.36,7.93,43179,2.39
KHYBER AGENCY,RURAL,886789,453603,433126,60,104.73,8.550000000000001,492367,3.14
KHYBER AGENCY,URBAN,97457,50899,46543,15,109.36,7.99,54363,3.11
KURRAM AGENCY,RURAL,577327,287663,289627,37,99.31999999999999,8.789999999999999,423165,1.65
KURRAM AGENCY,URBAN,38045,19272,18766,7,102.7,9,25145,2.2
MOHMAND AGENCY,RURAL,474345,241549,232755,41,103.78,9.369999999999999,334453,1.85
MOHMAND AGENCY,URBAN,,,,,,,,
NORTH WAZIRISTAN AGENCY,RURAL,536182,274482,261667,33,104.9,8.470000000000001,355281,2.19
NORTH WAZIRISTAN AGENCY,URBAN,4364,3267,1097,,297.81,6.99,5965,-1.63
ORAKZAI AGENCY,RURAL,254303,127564,126728,11,100.66,8,225441,.63
ORAKZAI AGENCY,URBAN,,,,,,,,
SOUTH WAZIRISTAN A,RURAL,675215,355611,319554,50,111.28,7.98,429841,2.4
SOUTH WAZIRISTAN A,URBAN,,,,,,,,
BAJAUR AGENCY,RURAL,1090987,556036,534895,56,103.95,8.859999999999999,595227,3.23
BAJAUR AGENCY,URBAN,,,,,,,,
FR BANNU,RURAL,43112,22286,20826,,107.01,9.74,19593,4.23
FR BANNU,URBAN,,,,,0,,,
FR D.I.KHAN,RURAL,68506,35356,33146,4,106.67,9.56,38990,3.01
FR D.I.KHAN,URBAN,,,,,,,,
FR KOHAT,RURAL,118839,59983,58851,5,101.92,8.09,88456,1.56
FR KOHAT,URBAN,,,,,,,,
FR LAKKI MARWAT,RURAL,26394,13685,12709,,107.68,7.84,6987,7.23
FR LAKKI MARWAT,URBAN,,,,,,,,
FR PESHAWAR,RURAL,64761,31676,33081,4,95.75,8.98,53841,.97
FR PESHAWAR,URBAN,,,,,,,,
FR TANK,RURAL,36418,18783,17632,3,106.53,8.43,27216,1.54
FR TANK,URBAN,,,,,,,,
ATTOCK DISTRICT,RURAL,1395470,688077,707315,78,97.28,6.08,1003843,1.75
ATTOCK DISTRICT,URBAN,490908,250573,240282,53,104.28,6.13,271092,3.17
CHAKWAL DISTRICT,RURAL,1211855,581883,629904,68,92.38,5.51,952033,1.28
CHAKWAL DISTRICT,URBAN,283608,141295,142262,51,99.31999999999999,5.74,131692,4.11
JHELUM DISTRICT,RURAL,868106,419475,448550,81,93.52,5.92,677627,1.31
JHELUM DISTRICT,URBAN,354297,181931,172312,54,105.58,5.79,259330,1.65
RAWALPINDI DISTRICT,RURAL,2396672,1192950,1203473,249,99.13,6,1575638,2.23
RAWALPINDI DISTRICT,URBAN,3005708,1543230,1461616,862,105.58,6.02,1788273,2.77
BHAKKAR DISTRICT,RURAL,1388198,709912,678193,93,104.68,6.12,882782,2.41
BHAKKAR DISTRICT,URBAN,259654,133144,126476,34,105.27,6.11,168674,2.29
KHUSHAB DISTRICT,RURAL,927412,460413,466942,57,98.59999999999999,6.08,676742,1.67
KHUSHAB DISTRICT,URBAN,352960,177061,175849,50,100.69,6.02,228969,2.3
SARGODHA DISTRICT,RURAL,2608007,1316960,1290851,196,102.02,6.22,1915947,1.63
SARGODHA DISTRICT,URBAN,1088205,550764,537223,218,102.52,6.06,750032,1.97
MIANWALI DISTRICT,RURAL,1214789,605990,608718,81,99.55,6.44,836610,1.98
MIANWALI DISTRICT,URBAN,327812,165979,161784,49,102.59,6.27,220010,2.12
GUJRANWALA DISTRICT,RURAL,2061948,1032024,1029715,209,100.22,6.81,1681902,1.08
GUJRANWALA DISTRICT,URBAN,2949118,1496966,1451742,410,103.12,6.52,1719038,2.88
GUJRAT DISTRICT,RURAL,1928789,918346,1010297,146,90.90000000000001,6.25,1479836,1.4
GUJRAT DISTRICT,URBAN,827500,416429,410998,73,101.32,6.08,568172,1.99
HAFIZABAD DISTRICT,RURAL,754225,381307,372877,41,102.26,6.59,605865,1.16
HAFIZABAD DISTRICT,URBAN,402729,203361,199311,57,102.03,6.55,227115,3.05
MANDI BAHAUDDIN DISTRICT,RURAL,1267681,616004,651572,105,94.54000000000001,6.31,984131,1.34
MANDI BAHAUDDIN DISTRICT,URBAN,326358,159784,166484,90,95.98,6.12,176421,3.28
NAROWAL DISTRICT,RURAL,1450918,713296,737513,109,96.72,7.18,1110711,1.41
NAROWAL DISTRICT,URBAN,256657,126638,129959,60,97.44,6.47,154386,2.71
SIALKOT DISTRICT,RURAL,2750403,1344920,1405160,323,95.70999999999999,6.81,2010152,1.66
SIALKOT DISTRICT,URBAN,1144535,576369,567990,176,101.48,6.44,713329,2.52
LAHORE DISTRICT,RURAL,,,,,,,1131026,-100
LAHORE DISTRICT,URBAN,11119985,5813987,5303982,2016,109.62,6.23,5209088,4.06
KASUR DISTRICT,RURAL,2564101,1328622,1235368,111,107.55,6.67,1812115,1.84
KASUR DISTRICT,URBAN,890780,459995,430676,109,106.81,6.33,542391,2.64
NANKANA SAHIB DISTRIC,RURAL,1109862,565930,543831,101,104.06,6.28,886714,1.19
NANKANA SAHIB DISTRIC,URBAN,245124,124344,120727,53,103,6.12,158151,2.33
SHEIKHUPURA DISTRICT,RURAL,2258491,1169824,1088461,206,107.48,6.68,1563499,1.95
SHEIKHUPURA DISTRICT,URBAN,1201513,616559,584781,173,105.43,6.5,712665,2.78
FAISALABAD DISTRICT,RURAL,4115578,2103917,2011294,367,104.61,6.53,3111114,1.48
FAISALABAD DISTRICT,URBAN,3766866,1935015,1831390,461,105.66,6.31,2318433,2.58
