district,tehsil,area_sqkm,all_sex,male,female,transgender,sex_ratio,pop_density_sqkm,urban_proportion,avg_hhsize,population1998,pop_growth_avg_1998_2017
BANNU DISTRICT,BANNU TEHSIL,802,958103,485436,472643,24,102.71,1194.64,5.21,9.06,572957,2.74
BANNU DISTRICT,DOMEL TEHSIL,425,208968,107189,101779,,105.32,491.69,,10.98,102710,3.8
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,2541,578874,292614,286257,3,102.22,227.81,10.24,8.32,339934,2.84
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,623,296870,149103,147766,1,100.9,476.52,10.1,9.609999999999999,150091,3.65
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,1540,124318,64533,59784,1,107.94,80.73,,8.220000000000001,73658,2.79
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,1167,725449,374787,350595,67,106.9,621.64,30.05,7.86,362790,3.71
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,1229,101892,52706,49184,2,107.16,82.91,24.29,8.16,67256,2.21
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,1657,381086,194708,186355,23,104.48,229.99,20.35,7.76,218589,2.96
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,1733,292343,150951,141383,9,106.77,168.69,13.64,8.32,130702,4.32
TANK DISTRICT,TANK TEHSIL,1679,390626,200100,190499,27,105.04,232.65,12.05,8.85,238216,2.63
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,1438,982837,502980,479821,36,104.83,683.47,25,6,628766,2.37
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,529,350252,174877,175375,,99.72,662.1,13.79,6.34,251900,1.75
BATAGRAM DISTRICT,ALLAI TEHSIL,804,180502,90363,90127,12,100.26,224.5,,6.75,121652,2.09
BATAGRAM DISTRICT,BATAGRAM TEHSIL,497,296247,148039,148185,23,99.90000000000001,596.0700000000001,,6.97,185626,2.49
HARIPUR DISTRICT,GHAZI TEHSIL,595,144917,72137,72780,,99.12,243.56,,5.8,113049,1.31
HARIPUR DISTRICT,HARIPUR TEHSIL,1130,856598,426065,430486,47,98.97,758.05,15.54,6.12,579179,2.08
MANSEHRA DISTRICT,BALA KOT TEHSIL,2376,273257,135039,138200,18,97.70999999999999,115.01,,6,214630,1.28
MANSEHRA DISTRICT,MANSEHRA TEHSIL,1340,1017521,510187,507117,217,100.61,759.34,14.24,6.53,574975,3.04
MANSEHRA DISTRICT,OGHI TEHSIL,409,264964,126750,138192,22,91.72,647.83,,7.06,188552,1.8
TORGHAR DISTRICT,JUDBA TEHSIL,149,96888,49459,47419,10,104.3,650.26,,6.47,84628,.71
TORGHAR DISTRICT,KHANDER TEHSIL,305,74461,36600,37855,6,96.68000000000001,244.13,,6.51,90054,-.99
KOHISTAN DISTRICT,DASSU SUB-DIVISION,,223436,121177,102259,,118.5,,,8.279999999999999,137519,2.58
KOHISTAN DISTRICT,KANDIA SUB-DIVISION,,83850,45597,38245,8,119.22,,,7.74,47227,3.06
KOHISTAN DISTRICT,PALAS SUB-DIVISION,,274923,149104,125814,5,118.51,,,7.64,165613,2.7
KOHISTAN DISTRICT,PATTAN SUB-DIVISION,,202502,108765,93737,0,116.03,,,7.7,122211,2.69
HANGU DISTRICT,HANGU TEHSIL,669,270399,129825,140553,21,92.37,404.18,18.05,10.07,163117,2.69
HANGU DISTRICT,TALL TEHSIL,428,248412,119219,129179,14,92.29000000000001,580.4,21.62,10.53,151412,2.64
KARAK DISTRICT,BANDA DAUD SHAH TEHSIL,1465,155482,75250,80221,11,93.8,106.13,,9.029999999999999,98626,2.42
KARAK DISTRICT,KARAK TEHSIL,1299,292829,143957,148851,21,96.70999999999999,225.43,17.45,9.17,175758,2.72
KARAK DISTRICT,TAKHT-E-NASRATI TEHSIL,607,257051,129108,127932,11,100.92,423.48,,9.869999999999999,156412,2.64
KOHAT DISTRICT,KOHAT TEHSIL,1414,848997,424432,424465,100,99.98999999999999,600.42,26.92,8.15,470648,3.15
KOHAT DISTRICT,LACHI TEHSIL,1131,143430,71350,72074,6,99,126.82,28.84,7.26,91996,2.36
MARDAN DISTRICT,KATLANG TEHSIL,422,343225,171021,172202,2,99.31,813.33,,8.140000000000001,221546,2.33
MARDAN DISTRICT,MARDAN TEHSIL,857,1403002,709607,693339,56,102.35,1637.11,25.59,7.82,864017,2.58
MARDAN DISTRICT,TAKHT BHAI TEHSIL,353,627172,320494,306674,4,104.51,1776.69,12.95,6.82,374537,2.75
SWABI DISTRICT,LAHOR TEHSIL,318,305782,154603,151162,17,102.28,961.58,13.51,7.71,187558,2.6
SWABI DISTRICT,RAZAR TEHSIL,418,584876,290746,294111,19,98.86,1399.22,4.48,7.64,376106,2.35
SWABI DISTRICT,SWABI TEHSIL,389,406321,199677,206612,32,96.64,1044.53,38.25,7.65,258006,2.41
SWABI DISTRICT,TOPI TEHSIL,418,328498,170802,157665,31,108.33,785.88,16.14,7.17,205134,2.5
CHARSADDA DISTRICT,CHARSADDA TEHSIL,445,804843,410974,393865,4,104.34,1808.64,18.12,7.3,527152,2.25
CHARSADDA DISTRICT,SHABQADAR TEHSIL,204,379952,191741,188210,1,101.88,1862.51,24.08,7.54,240751,2.43
CHARSADDA DISTRICT,TANGI TEHSIL,347,426165,214936,211223,6,101.76,1228.14,7.72,7.1,254461,2.75
NOWSHERA DISTRICT,JEHANGIRA TEHSIL,718,353764,179262,174464,38,102.75,492.71,24.34,7.74,208704,2.81
NOWSHERA DISTRICT,NOWSHERA TEHSIL,679,728815,383065,345678,72,110.82,1073.37,27.17,7.4,419549,2.94
NOWSHERA DISTRICT,PABBI TEHSIL,351,438416,220708,217692,16,101.39,1249.05,12.63,7.55,246120,3.08
PESHAWAR DISTRICT,PESHAWAR TEHSIL,1257,4267198,2198005,2068568,625,106.26,3394.75,46.16,8.369999999999999,2026851,3.99
BUNER DISTRICT,DAGGAR TEHSIL,762,354809,176595,178195,19,99.09999999999999,465.63,,10.12,197120,3.14
BUNER DISTRICT,GAGRA TEHSIL,435,269971,134468,135495,8,99.23999999999999,620.62,,9.59,151877,3.07
BUNER DISTRICT,KHADO KHEL TEHSIL,343,118072,58013,60056,3,96.59999999999999,344.23,,8.16,69812,2.8
BUNER DISTRICT,MANDANR TEHSIL,325,152608,76796,75809,3,101.3,469.56,,8.52,87239,2.98
CHITRAL DISTRICT,CHITRAL SUB-DIVISION,6458,278328,143676,134637,15,106.71,43.1,17.89,7.1,184874,2.17
CHITRAL DISTRICT,MASTUJ SUB-DIVISION,8392,169297,81993,87297,7,93.92,20.17,,7.45,133815,1.24
