district,population_range,urbanlocalities,tehsil,all_sex,male,female,transgender,population1998,avg_growth_1998_2017,avg_hh_size
ABBOTTABAD DISTRICT,"BELOW 5,000",MURREE GALLIES CANTONMENT,ABBOTTABAD TEHSIL,613,471,142,,307,3.7,4
ABBOTTABAD DISTRICT,"10,000 - 24,999",HAVELIAN MC,HAVELIAN TEHSIL,16770,8532,8238,,12016,1.77,6.3
ABBOTTABAD DISTRICT,"25,000 - 49,999",HAVELIAN CANTONMENT,HAVELIAN TEHSIL,31545,16084,15461,,19609,2.53,6.78
ABBOTTABAD DISTRICT,"25,000 - 49,999",NAWAN SHEHR TC,ABBOTTABAD TEHSIL,37068,18532,18536,,19871,3.33,6.41
ABBOTTABAD DISTRICT,"50,000 - 99,999",ABBOTTABAD MC,ABBOTTABAD TEHSIL,70227,35832,34378,17,47609,2.06,6.19
ABBOTTABAD DISTRICT,"100,000 - 199,999",ABBOTTABAD CANTONMENT,ABBOTTABAD TEHSIL,137762,75814,61947,1,58492,4.6,6.01
ATTOCK DISTRICT,"10,000 - 24,999",SANJWAL CANTONMENT,ATTOCK TEHSIL,10863,5728,5135,0,9106,.93,5.61
ATTOCK DISTRICT,"10,000 - 24,999",GHUR GHUSHTI MC,HAZRO TEHSIL,15752,7784,7967,1,14730,.35,5.81
ATTOCK DISTRICT,"25,000 - 49,999",ATTOCK CANTONMENT,ATTOCK TEHSIL,25729,15668,10061,0,17590,2.02,5.77
ATTOCK DISTRICT,"25,000 - 49,999",HAZRO MC,HAZRO TEHSIL,39556,19785,19769,2,27426,1.94,6.71
ATTOCK DISTRICT,"25,000 - 49,999",PINDI GHEB MC,PINDI GHEB TEHSIL,45195,22205,22986,4,29850,2.2,5.91
ATTOCK DISTRICT,"25,000 - 49,999",JAND MC,JAND TEHSIL,48194,23084,25104,6,17284,5.53,5.87
ATTOCK DISTRICT,"50,000 - 99,999",KAMRA CANTONMENT,ATTOCK TEHSIL,54847,30250,24593,4,39005,1.81,5.46
ATTOCK DISTRICT,"50,000 - 99,999",HASAN ABDAL MC,HASAN ABDAL TEHSIL,63218,32039,31174,5,37976,2.71,6.65
ATTOCK DISTRICT,"50,000 - 99,999",FATEH JANG MC,FATEH JANG TEHSIL,66500,33250,33241,9,25986,5.06,6.51
ATTOCK DISTRICT,"100,000 - 199,999",ATTOCK MC,ATTOCK TEHSIL,121054,60780,60252,22,52139,4.52,6.17
AWARAN DISTRICT,"10,000 - 24,999",GUJAR MASHKAI MC,MASHKAI TEHSIL,12476,6639,5837,,,,7.82
AWARAN DISTRICT,"10,000 - 24,999",AWARAN MC,AWARAN TEHSIL,21761,10986,10774,1,,,7.81
BADIN DISTRICT,"5,000 - 9,999",NINDO TC,BADIN TALUKA,8381,4213,4162,6,,,5.27
BADIN DISTRICT,"10,000 - 24,999",KADHAN TC,BADIN TALUKA,10845,5556,5288,1,5818,3.33,4.86
BADIN DISTRICT,"10,000 - 24,999",PANGRIO TC,TANDO BAGO TALUKA,13443,6956,6487,,,,4.56
BADIN DISTRICT,"10,000 - 24,999",TANDO BAGO MC,TANDO BAGO TALUKA,17546,8972,8568,6,11939,2.04,4.79
BADIN DISTRICT,"10,000 - 24,999",KARIO GHANWAR TC,GOLARCHI (S.F.RAHU) TALUKA,19487,10245,9233,9,4801,7.64,4.98
BADIN DISTRICT,"10,000 - 24,999",RAJO KHANANI TC,TALHAR TALUKA,21018,10801,10216,1,6581,6.29,4.83
BADIN DISTRICT,"25,000 - 49,999",KHOSKI TC,TANDO BAGO TALUKA,27411,14262,13144,5,6875,7.54,4.81
BADIN DISTRICT,"25,000 - 49,999",TALHAR TC,TALHAR TALUKA,27667,14057,13603,7,16438,2.77,4.82
BADIN DISTRICT,"25,000 - 49,999",SHAHEED FAZAL RAHU TC,GOLARCHI (S.F.RAHU) TALUKA,33866,17380,16478,8,14226,4.66,5.43
BADIN DISTRICT,"25,000 - 49,999",TANDO GHULAM ALI TC,MATLI TALUKA,35724,18404,17315,5,14058,5.02,5.17
BADIN DISTRICT,"50,000 - 99,999",MATLI MC,MATLI TALUKA,62563,32034,30508,21,42909,2,5.54
BADIN DISTRICT,"100,000 - 199,999",BADIN MC,BADIN TALUKA,112393,57903,54474,16,62843,3.1,4.99
BAHAWALNAGAR DISTRICT,"10,000 - 24,999",MANDI SADIQ GANJ TC,MINCHINABAD TEHSIL,15731,8042,7687,2,12188,1.35,6.97
