district,age,sex,rural,urban,total
ABBOTTABAD DISTRICT,<1,Male,13768,3270,17038
ABBOTTABAD DISTRICT,<1,Female,13093,3164,16257
ABBOTTABAD DISTRICT,<1,Transgender,0,0,0
ABBOTTABAD DISTRICT,1,Male,13259,3409,16668
ABBOTTABAD DISTRICT,1,Female,12434,3234,15668
ABBOTTABAD DISTRICT,1,Transgender,0,0,0
ABBOTTABAD DISTRICT,2,Male,13308,3444,16752
ABBOTTABAD DISTRICT,2,Female,12436,3258,15694
ABBOTTABAD DISTRICT,2,Transgender,0,0,0
ABBOTTABAD DISTRICT,3,Male,14126,3653,17779
ABBOTTABAD DISTRICT,3,Female,13169,3468,16637
ABBOTTABAD DISTRICT,3,Transgender,0,0,0
ABBOTTABAD DISTRICT,4,Male,13346,3435,16781
ABBOTTABAD DISTRICT,4,Female,12539,3281,15820
ABBOTTABAD DISTRICT,4,Transgender,0,0,0
ABBOTTABAD DISTRICT,5,Male,13258,3420,16678
ABBOTTABAD DISTRICT,5,Female,12974,3292,16266
ABBOTTABAD DISTRICT,5,Transgender,0,0,0
ABBOTTABAD DISTRICT,6,Male,13219,3568,16787
ABBOTTABAD DISTRICT,6,Female,12085,3192,15277
ABBOTTABAD DISTRICT,6,Transgender,0,0,0
ABBOTTABAD DISTRICT,7,Male,14547,3745,18292
ABBOTTABAD DISTRICT,7,Female,13597,3572,17169
ABBOTTABAD DISTRICT,7,Transgender,0,0,0
ABBOTTABAD DISTRICT,8,Male,12795,3294,16089
ABBOTTABAD DISTRICT,8,Female,12085,2904,14989
ABBOTTABAD DISTRICT,8,Transgender,0,0,0
ABBOTTABAD DISTRICT,9,Male,14343,3947,18290
ABBOTTABAD DISTRICT,9,Female,13149,3434,16583
ABBOTTABAD DISTRICT,9,Transgender,0,0,0
ABBOTTABAD DISTRICT,10,Male,11075,2992,14067
ABBOTTABAD DISTRICT,10,Female,10620,2779,13399
ABBOTTABAD DISTRICT,10,Transgender,0,0,0
ABBOTTABAD DISTRICT,11,Male,13348,3729,17077
ABBOTTABAD DISTRICT,11,Female,12156,3255,15411
ABBOTTABAD DISTRICT,11,Transgender,0,0,0
ABBOTTABAD DISTRICT,12,Male,11323,3316,14639
ABBOTTABAD DISTRICT,12,Female,10297,2746,13043
ABBOTTABAD DISTRICT,12,Transgender,0,0,0
ABBOTTABAD DISTRICT,13,Male,12059,3777,15836
ABBOTTABAD DISTRICT,13,Female,10846,2979,13825
ABBOTTABAD DISTRICT,13,Transgender,0,0,0
ABBOTTABAD DISTRICT,14,Male,11153,3336,14489
ABBOTTABAD DISTRICT,14,Female,10041,2780,12821
ABBOTTABAD DISTRICT,14,Transgender,0,0,0
ABBOTTABAD DISTRICT,15,Male,11142,3257,14399
ABBOTTABAD DISTRICT,15,Female,10370,2914,13284
ABBOTTABAD DISTRICT,15,Transgender,0,0,0
ABBOTTABAD DISTRICT,16,Male,11202,3384,14586
ABBOTTABAD DISTRICT,16,Female,10488,2883,13371
ABBOTTABAD DISTRICT,16,Transgender,1,0,1
ABBOTTABAD DISTRICT,17,Male,11534,3640,15174
ABBOTTABAD DISTRICT,17,Female,11009,3064,14073
ABBOTTABAD DISTRICT,17,Transgender,1,0,1
ABBOTTABAD DISTRICT,18,Male,10018,3199,13217
ABBOTTABAD DISTRICT,18,Female,9325,2402,11727
ABBOTTABAD DISTRICT,18,Transgender,0,0,0
ABBOTTABAD DISTRICT,19,Male,10924,3913,14837
ABBOTTABAD DISTRICT,19,Female,10509,3003,13512
ABBOTTABAD DISTRICT,19,Transgender,0,1,1
ABBOTTABAD DISTRICT,20,Male,9200,3719,12919
ABBOTTABAD DISTRICT,20,Female,8568,2251,10819
ABBOTTABAD DISTRICT,20,Transgender,0,0,0
ABBOTTABAD DISTRICT,21,Male,10339,4236,14575
ABBOTTABAD DISTRICT,21,Female,10235,2980,13215
ABBOTTABAD DISTRICT,21,Transgender,0,0,0
ABBOTTABAD DISTRICT,22,Male,9509,3528,13037
ABBOTTABAD DISTRICT,22,Female,9796,2711,12507
ABBOTTABAD DISTRICT,22,Transgender,1,0,1
ABBOTTABAD DISTRICT,23,Male,9532,3338,12870
ABBOTTABAD DISTRICT,23,Female,10427,2830,13257
ABBOTTABAD DISTRICT,23,Transgender,0,0,0
ABBOTTABAD DISTRICT,24,Male,9466,3100,12566
ABBOTTABAD DISTRICT,24,Female,10091,2770,12861
ABBOTTABAD DISTRICT,24,Transgender,0,0,0
