district,age,rural,urban,total
ABBOTTABAD DISTRICT,<1,26861,6434,33295
ABBOTTABAD DISTRICT,1,25693,6643,32336
ABBOTTABAD DISTRICT,2,25744,6702,32446
ABBOTTABAD DISTRICT,3,27295,7121,34416
ABBOTTABAD DISTRICT,4,25885,6716,32601
ABBOTTABAD DISTRICT,5,26232,6712,32944
ABBOTTABAD DISTRICT,6,25304,6760,32064
ABBOTTABAD DISTRICT,7,28144,7317,35461
ABBOTTABAD DISTRICT,8,24880,6198,31078
ABBOTTABAD DISTRICT,9,27492,7381,34873
ABBOTTABAD DISTRICT,10,21695,5771,27466
ABBOTTABAD DISTRICT,11,25504,6984,32488
ABBOTTABAD DISTRICT,12,21620,6062,27682
ABBOTTABAD DISTRICT,13,22905,6756,29661
ABBOTTABAD DISTRICT,14,21194,6116,27310
ABBOTTABAD DISTRICT,15,21512,6171,27683
ABBOTTABAD DISTRICT,16,21691,6267,27958
ABBOTTABAD DISTRICT,17,22544,6704,29248
ABBOTTABAD DISTRICT,18,19343,5601,24944
ABBOTTABAD DISTRICT,19,21433,6917,28350
ABBOTTABAD DISTRICT,20,17768,5970,23738
ABBOTTABAD DISTRICT,21,20574,7216,27790
ABBOTTABAD DISTRICT,22,19306,6239,25545
ABBOTTABAD DISTRICT,23,19959,6168,26127
ABBOTTABAD DISTRICT,24,19557,5870,25427
ABBOTTABAD DISTRICT,25,16269,4739,21008
ABBOTTABAD DISTRICT,26,17902,5334,23236
ABBOTTABAD DISTRICT,27,16832,5143,21975
ABBOTTABAD DISTRICT,28,16754,5003,21757
ABBOTTABAD DISTRICT,29,15859,4928,20787
ABBOTTABAD DISTRICT,30,15218,4541,19759
ABBOTTABAD DISTRICT,31,15907,4764,20671
ABBOTTABAD DISTRICT,32,15484,4805,20289
ABBOTTABAD DISTRICT,33,14641,4452,19093
ABBOTTABAD DISTRICT,34,14226,4049,18275
ABBOTTABAD DISTRICT,35,12284,3773,16057
ABBOTTABAD DISTRICT,36,13173,3895,17068
ABBOTTABAD DISTRICT,37,11645,3327,14972
ABBOTTABAD DISTRICT,38,13227,4201,17428
ABBOTTABAD DISTRICT,39,12029,3469,15498
ABBOTTABAD DISTRICT,40,11100,3680,14780
ABBOTTABAD DISTRICT,41,10361,3028,13389
ABBOTTABAD DISTRICT,42,9750,3139,12889
ABBOTTABAD DISTRICT,43,9703,2989,12692
ABBOTTABAD DISTRICT,44,9333,2769,12102
ABBOTTABAD DISTRICT,45,8501,2807,11308
ABBOTTABAD DISTRICT,46,8790,2458,11248
ABBOTTABAD DISTRICT,47,7642,2068,9710
ABBOTTABAD DISTRICT,48,9541,2578,12119
ABBOTTABAD DISTRICT,49,8684,2328,11012
ABBOTTABAD DISTRICT,50,8396,2640,11036
ABBOTTABAD DISTRICT,51,7932,2135,10067
ABBOTTABAD DISTRICT,52,7969,2309,10278
ABBOTTABAD DISTRICT,53,7990,2155,10145
ABBOTTABAD DISTRICT,54,7532,2074,9606
ABBOTTABAD DISTRICT,55,6861,2015,8876
ABBOTTABAD DISTRICT,56,6209,1681,7890
ABBOTTABAD DISTRICT,57,5044,1336,6380
ABBOTTABAD DISTRICT,58,5886,1581,7467
ABBOTTABAD DISTRICT,59,5137,1312,6449
ABBOTTABAD DISTRICT,60,5449,1656,7105
ABBOTTABAD DISTRICT,61,5393,1294,6687
ABBOTTABAD DISTRICT,62,5390,1384,6774
ABBOTTABAD DISTRICT,63,5382,1287,6669
ABBOTTABAD DISTRICT,64,4719,1189,5908
ABBOTTABAD DISTRICT,65,4354,1154,5508
ABBOTTABAD DISTRICT,66,3781,795,4576
ABBOTTABAD DISTRICT,67,3606,697,4303
ABBOTTABAD DISTRICT,68,4004,872,4876
ABBOTTABAD DISTRICT,69,3240,671,3911
ABBOTTABAD DISTRICT,70,3063,785,3848
ABBOTTABAD DISTRICT,71,2943,620,3563
ABBOTTABAD DISTRICT,72,2885,616,3501
ABBOTTABAD DISTRICT,73,2757,573,3330
ABBOTTABAD DISTRICT,74,2178,477,2655
ABBOTTABAD DISTRICT,>=75,16014,3614,19628
ATTOCK DISTRICT,<1,31301,10381,41682
ATTOCK DISTRICT,1,32971,12170,45141
ATTOCK DISTRICT,2,32710,11100,43810
ATTOCK DISTRICT,3,34761,12251,47012
ATTOCK DISTRICT,4,33232,11148,44380
ATTOCK DISTRICT,5,31933,11383,43316
ATTOCK DISTRICT,6,31595,11172,42767
ATTOCK DISTRICT,7,33588,11981,45569
ATTOCK DISTRICT,8,29491,10482,39973
ATTOCK DISTRICT,9,33892,12299,46191
ATTOCK DISTRICT,10,26913,9579,36492
ATTOCK DISTRICT,11,32783,12007,44790
ATTOCK DISTRICT,12,26332,9470,35802
ATTOCK DISTRICT,13,29872,10896,40768
ATTOCK DISTRICT,14,26341,9728,36069
ATTOCK DISTRICT,15,27933,9849,37782
ATTOCK DISTRICT,16,28789,9941,38730
ATTOCK DISTRICT,17,29456,10510,39966
ATTOCK DISTRICT,18,23576,8503,32079
ATTOCK DISTRICT,19,28683,10534,39217
ATTOCK DISTRICT,20,22732,8250,30982
ATTOCK DISTRICT,21,28610,10905,39515
ATTOCK DISTRICT,22,23421,8832,32253
ATTOCK DISTRICT,23,25137,9446,34583
