district,group,relationship,total_pop,never_married,married,widowed,divorced
BANNU DISTRICT,OVERALL,Head,119610,5099,109149,5313,49
BANNU DISTRICT,OVERALL,Spouse,104890,,104890,,
BANNU DISTRICT,OVERALL,Son/Daughter,160521,110893,49068,386,174
BANNU DISTRICT,OVERALL,Daughter / Son In Law,61290,,60839,429,22
BANNU DISTRICT,OVERALL,Grand Son / Grand Daughter,11424,9801,1607,8,8
BANNU DISTRICT,OVERALL,Father/Mother,27026,,17858,9158,10
BANNU DISTRICT,OVERALL,Brother / Sister,52330,26570,24853,767,140
BANNU DISTRICT,OVERALL,Other Relative,62881,17907,42592,2325,57
BANNU DISTRICT,OVERALL,Non-Relative,25452,10044,15016,381,11
BANNU DISTRICT,RURAL,Head,113610,4730,103812,5026,42
BANNU DISTRICT,RURAL,Spouse,99838,,99838,,
BANNU DISTRICT,RURAL,Son/Daughter,152491,104805,47150,369,167
BANNU DISTRICT,RURAL,Daughter / Son In Law,59355,,58918,415,22
BANNU DISTRICT,RURAL,Grand Son / Grand Daughter,11075,9482,1578,7,8
BANNU DISTRICT,RURAL,Father/Mother,26031,,17338,8684,9
BANNU DISTRICT,RURAL,Brother / Sister,49888,25157,23871,727,133
BANNU DISTRICT,RURAL,Other Relative,60532,17018,41238,2224,52
BANNU DISTRICT,RURAL,Non-Relative,20652,7956,12323,365,8
BANNU DISTRICT,URBAN,Head,6000,369,5337,287,7
BANNU DISTRICT,URBAN,Spouse,5052,,5052,,
BANNU DISTRICT,URBAN,Son/Daughter,8030,6088,1918,17,7
BANNU DISTRICT,URBAN,Daughter / Son In Law,1935,,1921,14,
BANNU DISTRICT,URBAN,Grand Son / Grand Daughter,349,319,29,1,
BANNU DISTRICT,URBAN,Father/Mother,995,,520,474,1
BANNU DISTRICT,URBAN,Brother / Sister,2442,1413,982,40,7
BANNU DISTRICT,URBAN,Other Relative,2349,889,1354,101,5
BANNU DISTRICT,URBAN,Non-Relative,4800,2088,2693,16,3
LAKKI MARWAT DISTRICT,OVERALL,Head,97947,3064,89591,5220,72
LAKKI MARWAT DISTRICT,OVERALL,Spouse,86426,,86426,,
LAKKI MARWAT DISTRICT,OVERALL,Son/Daughter,139371,103194,35555,360,262
LAKKI MARWAT DISTRICT,OVERALL,Daughter / Son In Law,44547,,44192,348,7
LAKKI MARWAT DISTRICT,OVERALL,Grand Son / Grand Daughter,7274,6323,943,8,
