district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
BANNU DISTRICT,OVERALL,Head,Overall,119610,5099,109149,5313,49
BANNU DISTRICT,OVERALL,Head,Male,106284,4626,99361,2275,22
BANNU DISTRICT,OVERALL,Head,Female,13324,471,9788,3038,27
BANNU DISTRICT,OVERALL,Head,Transgender,2,2,,,
BANNU DISTRICT,OVERALL,Spouse,Overall,104890,,104890,,
BANNU DISTRICT,OVERALL,Spouse,Male,3683,,3683,,
BANNU DISTRICT,OVERALL,Spouse,Female,101207,,101207,,
BANNU DISTRICT,OVERALL,Son/Daughter,Overall,160521,110893,49068,386,174
BANNU DISTRICT,OVERALL,Son/Daughter,Male,113041,66094,46802,109,36
BANNU DISTRICT,OVERALL,Son/Daughter,Female,47479,44798,2266,277,138
BANNU DISTRICT,OVERALL,Son/Daughter,Transgender,1,1,,,
BANNU DISTRICT,OVERALL,Daughter / Son In Law,Overall,61290,,60839,429,22
BANNU DISTRICT,OVERALL,Daughter / Son In Law,Male,984,,979,5,
BANNU DISTRICT,OVERALL,Daughter / Son In Law,Female,60306,,59860,424,22
BANNU DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,11424,9801,1607,8,8
BANNU DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,6688,5584,1096,3,5
BANNU DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,4735,4216,511,5,3
BANNU DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,1,1,,,
BANNU DISTRICT,OVERALL,Father/Mother,Overall,27026,,17858,9158,10
BANNU DISTRICT,OVERALL,Father/Mother,Male,7716,,6764,948,4
BANNU DISTRICT,OVERALL,Father/Mother,Female,19310,,11094,8210,6
BANNU DISTRICT,OVERALL,Brother / Sister,Overall,52330,26570,24853,767,140
BANNU DISTRICT,OVERALL,Brother / Sister,Male,38009,14220,23558,208,23
BANNU DISTRICT,OVERALL,Brother / Sister,Female,14316,12345,1295,559,117
BANNU DISTRICT,OVERALL,Brother / Sister,Transgender,5,5,,,
BANNU DISTRICT,OVERALL,Other Relative,Overall,62881,17907,42592,2325,57
BANNU DISTRICT,OVERALL,Other Relative,Male,16527,9398,6906,210,13
BANNU DISTRICT,OVERALL,Other Relative,Female,46340,8495,35686,2115,44
BANNU DISTRICT,OVERALL,Other Relative,Transgender,14,14,,,
BANNU DISTRICT,OVERALL,Non-Relative,Overall,25452,10044,15016,381,11
BANNU DISTRICT,OVERALL,Non-Relative,Male,14653,6996,7578,75,4
BANNU DISTRICT,OVERALL,Non-Relative,Female,10798,3047,7438,306,7
BANNU DISTRICT,OVERALL,Non-Relative,Transgender,1,1,,,
BANNU DISTRICT,RURAL,Head,Overall,113610,4730,103812,5026,42
BANNU DISTRICT,RURAL,Head,Male,100770,4288,94295,2169,18
BANNU DISTRICT,RURAL,Head,Female,12839,441,9517,2857,24
