district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
BANNU DISTRICT, MALE,592625,106360,3683,261297,984,75510,7716,45844,62455,28776
BANNU DISTRICT, FEMALE,574422,13354,101207,180766,60306,67902,19310,21342,88769,21466
BANNU DISTRICT, TRANSGENDER,24,2,,1,,1,,5,14,1
LAKKI MARWAT DISTRICT, MALE,441717,86961,2757,220977,501,54790,4866,25792,32293,12780
LAKKI MARWAT DISTRICT, FEMALE,434023,11048,83669,161877,44046,50331,13424,12770,46954,9904
LAKKI MARWAT DISTRICT, TRANSGENDER,4,,,1,,,,3,,
DERA ISMAIL KHAN DISTRICT, MALE,837685,184060,3961,420214,1219,86949,7953,49349,56548,27432
DERA ISMAIL KHAN DISTRICT, FEMALE,787301,14607,173818,301590,74567,80393,25723,21580,77973,17050
DERA ISMAIL KHAN DISTRICT, TRANSGENDER,102,9,,9,,2,,19,37,26
TANK DISTRICT, MALE,200100,37429,2159,96121,237,23416,2405,13251,17512,7570
TANK DISTRICT, FEMALE,190499,5414,35937,67841,19417,21714,6269,5068,24727,4112
TANK DISTRICT, TRANSGENDER,27,2,,1,,,,8,15,1
ABBOTTABAD DISTRICT, MALE,677857,172034,14055,336560,1000,58239,7793,29087,30856,28233
ABBOTTABAD DISTRICT, FEMALE,655196,42188,158085,248483,60488,54290,23908,14603,45180,7971
ABBOTTABAD DISTRICT, TRANSGENDER,36,9,,3,,2,,1,13,8
BATAGRAM DISTRICT, MALE,238402,57349,2004,130504,228,23055,2033,10074,10542,2613
BATAGRAM DISTRICT, FEMALE,238312,11484,55653,97769,22553,21205,7087,5078,16356,1127
BATAGRAM DISTRICT, TRANSGENDER,35,3,,3,,,,,26,3
HARIPUR DISTRICT, MALE,498202,132452,5327,241106,689,49837,5202,21170,24062,18357
HARIPUR DISTRICT, FEMALE,503266,29466,120038,182694,50774,46808,19240,12280,37959,4007
HARIPUR DISTRICT, TRANSGENDER,47,15,,1,,,,5,5,21
MANSEHRA DISTRICT, MALE,771976,186027,12258,405129,1103,72798,8638,30018,38131,17874
MANSEHRA DISTRICT, FEMALE,783509,49323,174701,312837,72481,68778,24450,16012,55853,9074
MANSEHRA DISTRICT, TRANSGENDER,257,52,,18,,2,,29,80,76
