district,locale,sex,type,age_group,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
BANNU DISTRICT,Rural,Male,RURAL MALE,00 - 04,95423,,,40339,,32439,,907,18101,3637
BANNU DISTRICT,Rural,Male,RURAL MALE,05 - 09,103003,,,54393,,24078,,2560,16848,5124
BANNU DISTRICT,Rural,Male,RURAL MALE,10 --14,77011,72,,47987,,10458,,4213,9691,4590
BANNU DISTRICT,Rural,Male,RURAL MALE,15 - 19,59268,1244,18,38822,189,4292,,5839,5665,3199
BANNU DISTRICT,Rural,Male,RURAL MALE,20 - 24,44261,5107,66,26413,236,1410,,6106,3030,1893
BANNU DISTRICT,Rural,Male,RURAL MALE,25 - 29,38609,8383,186,19348,208,548,,6436,2037,1463
BANNU DISTRICT,Rural,Male,RURAL MALE,30 - 34,29672,9794,362,11664,135,158,1,5310,1208,1040
BANNU DISTRICT,Rural,Male,RURAL MALE,35 - 39,22490,10202,446,6086,60,54,30,4036,849,727
BANNU DISTRICT,Rural,Male,RURAL MALE,40 - 44,20528,11904,517,3385,46,16,201,3210,699,550
BANNU DISTRICT,Rural,Male,RURAL MALE,45 - 49,16383,11331,467,1289,28,12,449,2009,437,361
BANNU DISTRICT,Rural,Male,RURAL MALE,50 - 54,15504,11444,514,580,7,3,878,1400,368,310
BANNU DISTRICT,Rural,Male,RURAL MALE,55 - 59,13127,10073,384,170,11,,1079,891,310,209
BANNU DISTRICT,Rural,Male,RURAL MALE,60 - 64,12220,9264,281,67,7,2,1423,550,407,219
BANNU DISTRICT,Rural,Male,RURAL MALE,65 - 69,7513,5644,130,15,6,,1001,312,267,138
BANNU DISTRICT,Rural,Male,RURAL MALE,70 - 74,4899,3447,95,2,4,,909,159,197,86
BANNU DISTRICT,Rural,Male,RURAL MALE,75 & ABOVE,5086,2933,68,,5,,1516,157,297,110
BANNU DISTRICT,Rural,Female,RURAL FEMALE,00 - 04,89941,,,37861,,30513,,868,17226,3473
BANNU DISTRICT,Rural,Female,RURAL FEMALE,05 - 09,90475,,,47859,,21469,,2342,15043,3762
BANNU DISTRICT,Rural,Female,RURAL FEMALE,10 --14,67798,29,,42424,,9488,,3680,8986,3191
BANNU DISTRICT,Rural,Female,RURAL FEMALE,15 - 19,55115,123,2861,26181,8721,3361,,4019,7465,2384
BANNU DISTRICT,Rural,Female,RURAL FEMALE,20 - 24,51197,521,8320,10557,17887,798,,2419,9004,1691
BANNU DISTRICT,Rural,Female,RURAL FEMALE,25 - 29,46297,1252,12292,4601,15473,281,,1755,8955,1688
BANNU DISTRICT,Rural,Female,RURAL FEMALE,30 - 34,33112,1595,12413,1813,8710,90,13,1204,6045,1229
BANNU DISTRICT,Rural,Female,RURAL FEMALE,35 - 39,24853,1674,12254,814,4053,24,278,811,3968,977
BANNU DISTRICT,Rural,Female,RURAL FEMALE,40 - 44,23284,1838,13266,426,2139,19,1002,805,3021,768
BANNU DISTRICT,Rural,Female,RURAL FEMALE,45 - 49,17735,1502,10669,151,779,3,1787,632,1671,541
BANNU DISTRICT,Rural,Female,RURAL FEMALE,50 - 54,16107,1332,9537,67,335,1,2536,609,1311,379
BANNU DISTRICT,Rural,Female,RURAL FEMALE,55 - 59,11315,875,6386,25,110,,2493,411,787,228
BANNU DISTRICT,Rural,Female,RURAL FEMALE,60 - 64,10044,856,4648,11,49,2,3039,352,896,191
BANNU DISTRICT,Rural,Female,RURAL FEMALE,65 - 69,5619,585,2106,1,12,,2043,210,537,125
BANNU DISTRICT,Rural,Female,RURAL FEMALE,70 - 74,3812,382,936,2,40,,1834,122,434,62
BANNU DISTRICT,Rural,Female,RURAL FEMALE,75 & ABOVE,5399,304,616,,105,,3519,119,653,83
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,00 - 04,,,,,,,,,,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,05 - 09,,,,,,,,,,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,10 --14,,,,,,,,,,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,15 - 19,1,,,,,,,,1,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,20 - 24,1,,,,,,,,1,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,25 - 29,4,,,1,,1,,2,,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,30 - 34,1,,,,,,,1,,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,35 - 39,3,,,,,,,,3,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,40 - 44,4,,,,,,,2,2,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,45 - 49,2,,,,,,,,2,
BANNU DISTRICT,Rural,Transgender,RURAL TRANSGENDER,50 - 54,3,,,,,,,,2,1
