district,tehsil,locale,sex,total_pop,urdu,punjabi,sindhi,pushto,balochi,kashmiri,saraiki,hindko,brahvi,others
BANNU DISTRICT,BANNU DISTRICT,OVERALL,ALL SEXES,1167071,7215,5107,1667,1146485,1173,614,1964,209,2434,203
BANNU DISTRICT,BANNU DISTRICT,OVERALL,MALE,592625,3746,3152,1027,581107,627,314,1054,152,1336,110
BANNU DISTRICT,BANNU DISTRICT,OVERALL,FEMALE,574422,3469,1955,640,565354,546,300,910,57,1098,93
BANNU DISTRICT,BANNU DISTRICT,OVERALL,TRANSGENDER,24,,,,24,,,,,,
BANNU DISTRICT,BANNU DISTRICT,RURAL,ALL SEXES,1117123,5550,1210,1171,1103783,1121,559,1199,51,2324,155
BANNU DISTRICT,BANNU DISTRICT,RURAL,MALE,564997,2873,682,583,558004,585,267,623,37,1266,77
BANNU DISTRICT,BANNU DISTRICT,RURAL,FEMALE,552103,2677,528,588,545756,536,292,576,14,1058,78
BANNU DISTRICT,BANNU DISTRICT,RURAL,TRANSGENDER,23,,,,23,,,,,,
BANNU DISTRICT,BANNU DISTRICT,URBAN,ALL SEXES,49948,1665,3897,496,42702,52,55,765,158,110,48
BANNU DISTRICT,BANNU DISTRICT,URBAN,MALE,27628,873,2470,444,23103,42,47,431,115,70,33
BANNU DISTRICT,BANNU DISTRICT,URBAN,FEMALE,22319,792,1427,52,19598,10,8,334,43,40,15
BANNU DISTRICT,BANNU DISTRICT,URBAN,TRANSGENDER,1,,,,1,,,,,,
BANNU DISTRICT,BANNU TEHSIL,OVERALL,ALL SEXES,958103,6149,4955,1431,940287,918,442,1734,199,1825,163
BANNU DISTRICT,BANNU TEHSIL,OVERALL,MALE,485436,3202,3060,898,475362,500,238,924,146,1016,90
BANNU DISTRICT,BANNU TEHSIL,OVERALL,FEMALE,472643,2947,1895,533,464901,418,204,810,53,809,73
BANNU DISTRICT,BANNU TEHSIL,OVERALL,TRANSGENDER,24,,,,24,,,,,,
BANNU DISTRICT,BANNU TEHSIL,RURAL,ALL SEXES,908155,4484,1058,935,897585,866,387,969,41,1715,115
BANNU DISTRICT,BANNU TEHSIL,RURAL,MALE,457808,2329,590,454,452259,458,191,493,31,946,57
BANNU DISTRICT,BANNU TEHSIL,RURAL,FEMALE,450324,2155,468,481,445303,408,196,476,10,769,58
BANNU DISTRICT,BANNU TEHSIL,RURAL,TRANSGENDER,23,,,,23,,,,,,
BANNU DISTRICT,BANNU TEHSIL,URBAN,ALL SEXES,49948,1665,3897,496,42702,52,55,765,158,110,48
BANNU DISTRICT,BANNU TEHSIL,URBAN,MALE,27628,873,2470,444,23103,42,47,431,115,70,33
BANNU DISTRICT,BANNU TEHSIL,URBAN,FEMALE,22319,792,1427,52,19598,10,8,334,43,40,15
BANNU DISTRICT,BANNU TEHSIL,URBAN,TRANSGENDER,1,,,,1,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,OVERALL,ALL SEXES,208968,1066,152,236,206198,255,172,230,10,609,40
BANNU DISTRICT,DOMEL TEHSIL,OVERALL,MALE,107189,544,92,129,105745,127,76,130,6,320,20
BANNU DISTRICT,DOMEL TEHSIL,OVERALL,FEMALE,101779,522,60,107,100453,128,96,100,4,289,20
BANNU DISTRICT,DOMEL TEHSIL,OVERALL,TRANSGENDER,,,,,,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,RURAL,ALL SEXES,208968,1066,152,236,206198,255,172,230,10,609,40
BANNU DISTRICT,DOMEL TEHSIL,RURAL,MALE,107189,544,92,129,105745,127,76,130,6,320,20
BANNU DISTRICT,DOMEL TEHSIL,RURAL,FEMALE,101779,522,60,107,100453,128,96,100,4,289,20
BANNU DISTRICT,DOMEL TEHSIL,RURAL,TRANSGENDER,,,,,,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,URBAN,ALL SEXES,,,,,,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,URBAN,MALE,,,,,,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,URBAN,FEMALE,,,,,,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,OVERALL,ALL SEXES,875744,3080,1382,526,864191,678,495,2612,1728,964,88
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,OVERALL,MALE,441717,1622,824,306,435489,314,277,1416,903,517,49
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,OVERALL,FEMALE,434023,1458,557,220,428699,364,218,1196,825,447,39
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,OVERALL,TRANSGENDER,4,,1,,3,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,ALL SEXES,786492,2477,582,461,780149,581,453,796,56,854,83
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,MALE,395952,1302,379,272,392491,273,252,447,36,454,46
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,FEMALE,390536,1175,202,189,387655,308,201,349,20,400,37
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,RURAL,TRANSGENDER,4,,1,,3,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,URBAN,ALL SEXES,89252,603,800,65,84042,97,42,1816,1672,110,5
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,URBAN,MALE,45765,320,445,34,42998,41,25,969,867,63,3
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,URBAN,FEMALE,43487,283,355,31,41044,56,17,847,805,47,2
LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,URBAN,TRANSGENDER,,,,,,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,OVERALL,ALL SEXES,578874,1871,643,317,571125,199,268,2123,1698,608,22
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,OVERALL,MALE,292614,972,409,196,288416,91,150,1149,885,333,13
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,OVERALL,FEMALE,286257,899,233,121,282707,108,118,974,813,275,9
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,OVERALL,TRANSGENDER,3,,1,,2,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,RURAL,ALL SEXES,519601,1542,464,276,515752,136,238,568,46,561,18
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,RURAL,MALE,261879,793,308,177,259724,68,134,327,33,304,11
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,RURAL,FEMALE,257719,749,155,99,256026,68,104,241,13,257,7
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,RURAL,TRANSGENDER,3,,1,,2,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,URBAN,ALL SEXES,59273,329,179,41,55373,63,30,1555,1652,47,4
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,URBAN,MALE,30735,179,101,19,28692,23,16,822,852,29,2
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,URBAN,FEMALE,28538,150,78,22,26681,40,14,733,800,18,2
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,OVERALL,ALL SEXES,296870,1209,739,209,293066,479,227,489,30,356,66
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,OVERALL,MALE,149103,650,415,110,147073,223,127,267,18,184,36
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,OVERALL,FEMALE,147766,559,324,99,145992,256,100,222,12,172,30
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,OVERALL,TRANSGENDER,1,,,,1,,,,,,
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,RURAL,ALL SEXES,266891,935,118,185,264397,445,215,228,10,293,65
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,RURAL,MALE,134073,509,71,95,132767,205,118,120,3,150,35
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,RURAL,FEMALE,132817,426,47,90,131629,240,97,108,7,143,30
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,RURAL,TRANSGENDER,1,,,,1,,,,,,
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,URBAN,ALL SEXES,29979,274,621,24,28669,34,12,261,20,63,1
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,URBAN,MALE,15030,141,344,15,14306,18,9,147,15,34,1
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,URBAN,FEMALE,14949,133,277,9,14363,16,3,114,5,29,
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,OVERALL,ALL SEXES,124318,279,122,59,28211,32,14,95555,10,29,7
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,OVERALL,MALE,64533,136,95,42,14776,22,8,49419,10,18,7
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,OVERALL,FEMALE,59784,143,27,17,13435,10,6,46135,,11,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,OVERALL,TRANSGENDER,1,,,,,,,1,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,RURAL,ALL SEXES,124318,279,122,59,28211,32,14,95555,10,29,7
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,RURAL,MALE,64533,136,95,42,14776,22,8,49419,10,18,7
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,RURAL,FEMALE,59784,143,27,17,13435,10,6,46135,,11,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,RURAL,TRANSGENDER,1,,,,,,,1,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,URBAN,ALL SEXES,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,URBAN,MALE,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,URBAN,FEMALE,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,OVERALL,ALL SEXES,1625088,33803,7582,991,535729,951,346,1043818,299,994,575
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,OVERALL,MALE,837685,17332,4605,603,274726,498,216,538609,215,538,343
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,OVERALL,FEMALE,787301,16466,2967,387,260972,453,130,505155,84,455,232
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,OVERALL,TRANSGENDER,102,5,10,1,31,,,54,,1,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,ALL SEXES,1264870,7883,2778,606,441303,486,153,810292,145,809,415
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,MALE,649892,4085,1762,350,225275,255,72,417314,101,433,245
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,FEMALE,614919,3798,1016,256,216005,231,81,392943,44,375,170
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,TRANSGENDER,59,,,,23,,,35,,1,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,ALL SEXES,360218,25920,4804,385,94426,465,193,233526,154,185,160
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,MALE,187793,13247,2843,253,49451,243,144,121295,114,105,98
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,FEMALE,172382,12668,1951,131,44967,222,49,112212,40,80,62
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,TRANSGENDER,43,5,10,1,8,,,19,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,OVERALL,ALL SEXES,725449,28583,6096,617,258448,626,239,429754,194,437,455
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,OVERALL,MALE,374787,14661,3619,379,132372,320,172,222652,135,231,246
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,OVERALL,FEMALE,350595,13917,2467,237,126057,306,67,207070,59,206,209
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,OVERALL,TRANSGENDER,67,5,10,1,19,,,32,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,RURAL,ALL SEXES,507431,5562,1528,326,211130,182,64,287946,58,334,301
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,RURAL,MALE,260671,2886,929,179,107138,91,37,149054,37,168,152
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,RURAL,FEMALE,246730,2676,599,147,103979,91,27,138875,21,166,149
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,RURAL,TRANSGENDER,30,,,,13,,,17,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,URBAN,ALL SEXES,218018,23021,4568,291,47318,444,175,141808,136,103,154
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,URBAN,MALE,114116,11775,2690,200,25234,229,135,73598,98,63,94
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,URBAN,FEMALE,103865,11241,1868,90,22078,215,40,68195,38,40,60
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,URBAN,TRANSGENDER,37,5,10,1,6,,,15,,,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,OVERALL,ALL SEXES,101892,497,75,54,40608,72,41,60393,52,96,4
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,OVERALL,MALE,52706,261,66,40,20972,39,12,31215,39,58,4
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,OVERALL,FEMALE,49184,236,9,14,19635,33,29,29177,13,38,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,OVERALL,TRANSGENDER,2,,,,1,,,1,,,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,RURAL,ALL SEXES,77139,328,26,32,30568,68,34,45972,39,68,4
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,RURAL,MALE,39956,178,22,22,15801,36,10,23811,27,45,4
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,RURAL,FEMALE,37181,150,4,10,14766,32,24,22160,12,23,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,RURAL,TRANSGENDER,2,,,,1,,,1,,,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,URBAN,ALL SEXES,24753,169,49,22,10040,4,7,14421,13,28,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,URBAN,MALE,12750,83,44,18,5171,3,2,7404,12,13,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,URBAN,FEMALE,12003,86,5,4,4869,1,5,7017,1,15,
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,OVERALL,ALL SEXES,381086,3525,364,146,127989,99,35,248703,10,179,36
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,OVERALL,MALE,194708,1779,256,85,65347,42,19,127059,6,95,20
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,OVERALL,FEMALE,186355,1746,108,61,62633,57,16,121631,4,83,16
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,OVERALL,TRANSGENDER,23,,,,9,,,13,,1,
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,RURAL,ALL SEXES,303520,946,289,134,96081,88,28,205778,10,133,33
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,RURAL,MALE,154668,470,215,76,48880,35,13,104882,6,72,19
