district,tehsil,locale,sex,age_group,total_pop,illiterate,literate_total,literate_formal,literate_non_or_informal,literacy_ratio
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,10  --  14,61527,12832,48695,48395,300,79.14
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,15  --  19,46572,10150,36422,36171,251,78.20999999999999
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,20  --  24,35424,10007,25417,25088,329,71.75
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,25  --  29,31339,10097,21242,20932,310,67.78
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,30  --  34,24667,8657,16010,15723,287,64.90000000000001
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,35  --  39,18639,6852,11787,11550,237,63.24
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,40  --  44,16978,7288,9690,9472,218,57.07
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,45  --  49,13542,6974,6568,6380,188,48.5
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,50  --  54,12775,7202,5573,5364,209,43.62
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,55  --  59,10809,6207,4602,4414,188,42.58
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,60  --  64,9934,6290,3644,3442,202,36.68
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,65  --  69,6029,4010,2019,1874,145,33.49
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,70  --  74,3882,2585,1297,1206,91,33.41
BANNU DISTRICT,BANNU TEHSIL,Rural,Male,75 AND ABOVE,3730,2593,1137,1037,100,30.48
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,10  --  14,54811,29870,24941,24381,560,45.5
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,15  --  19,44135,27519,16616,15971,645,37.65
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,20  --  24,41751,29712,12039,11248,791,28.84
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,25  --  29,38150,28642,9508,8657,851,24.92
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,30  --  34,27368,21435,5933,5315,618,21.68
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,35  --  39,20502,16914,3588,3169,419,17.5
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,40  --  44,19082,16579,2503,2050,453,13.12
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,45  --  49,14584,13132,1452,1122,330,9.960000000000001
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,50  --  54,13185,12070,1115,796,319,8.460000000000001
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,55  --  59,9198,8517,681,486,195,7.4
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,60  --  64,8181,7645,536,322,214,6.55
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,65  --  69,4524,4187,337,200,137,7.45
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,70  --  74,2994,2784,210,126,84,7.01
BANNU DISTRICT,BANNU TEHSIL,Rural,Female,75 AND ABOVE,4010,3730,280,151,129,6.98
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,10  --  14,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,15  --  19,1,1,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,20  --  24,1,,1,1,,100
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,25  --  29,4,2,2,1,1,50
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,30  --  34,1,,1,1,,100
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,35  --  39,3,3,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,40  --  44,4,4,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,45  --  49,2,2,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,50  --  54,3,3,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,55  --  59,1,1,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,60  --  64,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,65  --  69,1,1,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,70  --  74,2,2,,,,
BANNU DISTRICT,BANNU TEHSIL,Rural,Transgender,75 AND ABOVE,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,10  --  14,3192,288,2904,2886,18,90.98
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,15  --  19,3018,269,2749,2729,20,91.09
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,20  --  24,2857,253,2604,2441,163,91.14
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,25  --  29,2829,280,2549,2354,195,90.09999999999999
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,30  --  34,2363,253,2110,2035,75,89.29000000000001
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,35  --  39,1755,222,1533,1490,43,87.34999999999999
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,40  --  44,1357,233,1124,1092,32,82.83
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,45  --  49,930,184,746,725,21,80.22
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,50  --  54,910,245,665,635,30,73.08
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,55  --  59,673,157,516,494,22,76.67
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,60  --  64,571,148,423,403,20,74.08
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,65  --  69,332,86,246,238,8,74.09999999999999
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,70  --  74,207,61,146,141,5,70.53
BANNU DISTRICT,BANNU TEHSIL,Urban,Male,75 AND ABOVE,223,69,154,145,9,69.06
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,10  --  14,2571,326,2245,2213,32,87.31999999999999
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,15  --  19,2434,490,1944,1919,25,79.87
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,20  --  24,2196,571,1625,1560,65,74
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,25  --  29,2094,724,1370,1309,61,65.43000000000001
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,30  --  34,1583,569,1014,961,53,64.06
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,35  --  39,1301,529,772,732,40,59.34
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,40  --  44,1138,545,593,530,63,52.11
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,45  --  49,859,456,403,368,35,46.92
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,50  --  54,744,445,299,254,45,40.19
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,55  --  59,500,297,203,178,25,40.6
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,60  --  64,408,269,139,110,29,34.07
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,65  --  69,285,197,88,78,10,30.88
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,70  --  74,145,108,37,31,6,25.52
BANNU DISTRICT,BANNU TEHSIL,Urban,Female,75 AND ABOVE,239,162,77,57,20,32.22
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,10  --  14,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,15  --  19,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,20  --  24,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,25  --  29,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,30  --  34,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,35  --  39,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,40  --  44,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,45  --  49,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,50  --  54,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,55  --  59,1,,1,,1,100
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,60  --  64,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,65  --  69,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,70  --  74,,,,,,
BANNU DISTRICT,BANNU TEHSIL,Urban,Transgender,75 AND ABOVE,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,10  --  14,15484,3502,11982,11747,235,77.38
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,15  --  19,12696,2205,10491,10282,209,82.63
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,20  --  24,8837,1840,6997,6783,214,79.18000000000001
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,25  --  29,7270,1812,5458,5243,215,75.08
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,30  --  34,5005,1344,3661,3494,167,73.15000000000001
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,35  --  39,3851,1049,2802,2678,124,72.76000000000001
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,40  --  44,3550,1164,2386,2248,138,67.20999999999999
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,45  --  49,2841,1048,1793,1680,113,63.11
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,50  --  54,2729,1105,1624,1514,110,59.51
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,55  --  59,2318,969,1349,1248,101,58.2
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,60  --  64,2286,1133,1153,1037,116,50.44
