district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
BANNU DISTRICT,All,Overall,10-14,53,30,250,199,329
BANNU DISTRICT,All,Overall,15-19,71,38,130,191,277
BANNU DISTRICT,All,Overall,20-24,77,50,49,162,242
BANNU DISTRICT,All,Overall,25-29,84,45,16,144,168
BANNU DISTRICT,All,Overall,30-34,76,21,8,97,138
BANNU DISTRICT,All,Overall,35-39,63,15,4,75,91
BANNU DISTRICT,All,Overall,40-44,53,10,7,71,97
BANNU DISTRICT,All,Overall,45-49,31,5,,61,63
BANNU DISTRICT,All,Overall,50-54,46,2,,65,67
BANNU DISTRICT,All,Overall,55-59,49,6,,46,58
BANNU DISTRICT,All,Overall,60-64,52,5,,62,71
BANNU DISTRICT,All,Overall,65-69,28,1,,38,46
BANNU DISTRICT,All,Overall,70-74,20,2,,31,36
BANNU DISTRICT,All,Overall,75 AND ABOVE,17,2,,27,44
BANNU DISTRICT,All,Male,10-14,35,17,185,82,222
BANNU DISTRICT,All,Male,15-19,55,32,90,81,171
BANNU DISTRICT,All,Male,20-24,68,42,40,55,177
BANNU DISTRICT,All,Male,25-29,78,35,10,56,114
BANNU DISTRICT,All,Male,30-34,69,19,6,41,100
BANNU DISTRICT,All,Male,35-39,58,12,3,26,61
BANNU DISTRICT,All,Male,40-44,49,8,6,17,76
BANNU DISTRICT,All,Male,45-49,28,5,,22,50
BANNU DISTRICT,All,Male,50-54,44,2,,19,49
BANNU DISTRICT,All,Male,55-59,48,4,,17,48
BANNU DISTRICT,All,Male,60-64,49,4,,20,49
BANNU DISTRICT,All,Male,65-69,26,1,,14,31
BANNU DISTRICT,All,Male,70-74,16,2,,9,25
BANNU DISTRICT,All,Male,75 AND ABOVE,15,2,,11,24
BANNU DISTRICT,All,Female,10-14,18,13,65,117,107
BANNU DISTRICT,All,Female,15-19,16,6,40,110,106
BANNU DISTRICT,All,Female,20-24,9,8,9,107,65
BANNU DISTRICT,All,Female,25-29,5,10,6,88,54
BANNU DISTRICT,All,Female,30-34,6,2,2,56,38
BANNU DISTRICT,All,Female,35-39,5,3,1,48,30
BANNU DISTRICT,All,Female,40-44,4,2,1,53,21
BANNU DISTRICT,All,Female,45-49,3,,,39,13
BANNU DISTRICT,All,Female,50-54,2,,,45,18
BANNU DISTRICT,All,Female,55-59,1,2,,29,10
BANNU DISTRICT,All,Female,60-64,3,1,,42,22
BANNU DISTRICT,All,Female,65-69,2,,,23,15
BANNU DISTRICT,All,Female,70-74,4,,,21,10
BANNU DISTRICT,All,Female,75 AND ABOVE,2,,,16,20
BANNU DISTRICT,All,Transgender,10-14,,,,,
BANNU DISTRICT,All,Transgender,15-19,,,,,
BANNU DISTRICT,All,Transgender,20-24,,,,,
BANNU DISTRICT,All,Transgender,25-29,1,,,,
BANNU DISTRICT,All,Transgender,30-34,1,,,,
BANNU DISTRICT,All,Transgender,35-39,,,,1,
BANNU DISTRICT,All,Transgender,40-44,,,,1,
BANNU DISTRICT,All,Transgender,45-49,,,,,
BANNU DISTRICT,All,Transgender,50-54,,,,1,
BANNU DISTRICT,All,Transgender,55-59,,,,,
BANNU DISTRICT,All,Transgender,60-64,,,,,
BANNU DISTRICT,All,Transgender,65-69,,,,1,
BANNU DISTRICT,All,Transgender,70-74,,,,1,1
BANNU DISTRICT,All,Transgender,75 AND ABOVE,,,,,
BANNU DISTRICT,Rural,Overall,10-14,53,29,245,191,324
BANNU DISTRICT,Rural,Overall,15-19,71,37,128,184,273
BANNU DISTRICT,Rural,Overall,20-24,76,48,47,156,240
BANNU DISTRICT,Rural,Overall,25-29,84,42,16,140,166
BANNU DISTRICT,Rural,Overall,30-34,74,21,8,93,136
BANNU DISTRICT,Rural,Overall,35-39,59,15,4,74,90
BANNU DISTRICT,Rural,Overall,40-44,52,9,7,70,94
BANNU DISTRICT,Rural,Overall,45-49,31,5,,59,62
BANNU DISTRICT,Rural,Overall,50-54,44,2,,65,67
BANNU DISTRICT,Rural,Overall,55-59,47,6,,44,57
BANNU DISTRICT,Rural,Overall,60-64,51,5,,59,70
BANNU DISTRICT,Rural,Overall,65-69,28,1,,37,45
BANNU DISTRICT,Rural,Overall,70-74,20,2,,30,36
BANNU DISTRICT,Rural,Overall,75 AND ABOVE,17,2,,26,44
BANNU DISTRICT,Rural,Male,10-14,35,16,182,79,219
BANNU DISTRICT,Rural,Male,15-19,55,32,88,76,169
BANNU DISTRICT,Rural,Male,20-24,68,41,40,54,175
BANNU DISTRICT,Rural,Male,25-29,78,33,10,54,112
BANNU DISTRICT,Rural,Male,30-34,67,19,6,40,100
BANNU DISTRICT,Rural,Male,35-39,54,12,3,25,60
BANNU DISTRICT,Rural,Male,40-44,48,7,6,17,73
BANNU DISTRICT,Rural,Male,45-49,28,5,,20,49
BANNU DISTRICT,Rural,Male,50-54,42,2,,19,49
BANNU DISTRICT,Rural,Male,55-59,46,4,,15,47
BANNU DISTRICT,Rural,Male,60-64,48,4,,19,48
BANNU DISTRICT,Rural,Male,65-69,26,1,,14,30
BANNU DISTRICT,Rural,Male,70-74,16,2,,8,25
BANNU DISTRICT,Rural,Male,75 AND ABOVE,15,2,,11,24
BANNU DISTRICT,Rural,Female,10-14,18,13,63,112,105
BANNU DISTRICT,Rural,Female,15-19,16,5,40,108,104
BANNU DISTRICT,Rural,Female,20-24,8,7,7,102,65
BANNU DISTRICT,Rural,Female,25-29,5,9,6,86,54
BANNU DISTRICT,Rural,Female,30-34,6,2,2,53,36
BANNU DISTRICT,Rural,Female,35-39,5,3,1,48,30
BANNU DISTRICT,Rural,Female,40-44,4,2,1,52,21
BANNU DISTRICT,Rural,Female,45-49,3,,,39,13
BANNU DISTRICT,Rural,Female,50-54,2,,,45,18
BANNU DISTRICT,Rural,Female,55-59,1,2,,29,10
BANNU DISTRICT,Rural,Female,60-64,3,1,,40,22
BANNU DISTRICT,Rural,Female,65-69,2,,,22,15
BANNU DISTRICT,Rural,Female,70-74,4,,,21,10
BANNU DISTRICT,Rural,Female,75 AND ABOVE,2,,,15,20
