district,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
ABBOTTABAD DISTRICT,1 PERSON,2491,1497,638,248,87,67,31,18,35
ABBOTTABAD DISTRICT,2 PERSONS,5458,5843,1925,786,245,134,73,45,64
ABBOTTABAD DISTRICT,3 PERSONS,5685,8381,3556,1404,432,235,79,73,79
ABBOTTABAD DISTRICT,4 PERSONS,6393,11743,6045,2544,833,439,184,113,105
ABBOTTABAD DISTRICT,5 PERSONS,5906,14121,8504,3981,1265,646,224,162,155
ABBOTTABAD DISTRICT,6 PERSONS,4468,13086,8822,4380,1397,802,288,195,197
ABBOTTABAD DISTRICT,7 PERSONS,2588,9186,6965,3627,1285,687,288,186,167
ABBOTTABAD DISTRICT,8 PERSONS,1314,5759,4954,2908,1020,667,261,154,156
ABBOTTABAD DISTRICT,9 PERSONS,633,3179,3189,2123,860,498,188,152,151
ABBOTTABAD DISTRICT,10 PERSONS AND ABOVE,734,4134,5801,5421,2955,2391,981,886,1078
ATTOCK DISTRICT,1 PERSON,2977,2826,1419,661,242,108,54,60,67
ATTOCK DISTRICT,2 PERSONS,4680,8110,4238,1883,663,340,141,72,108
ATTOCK DISTRICT,3 PERSONS,4791,11144,6684,2896,1044,483,188,106,126
ATTOCK DISTRICT,4 PERSONS,5788,16197,10951,5064,1782,877,339,184,184
ATTOCK DISTRICT,5 PERSONS,5807,19407,14747,6943,2570,1227,513,263,305
ATTOCK DISTRICT,6 PERSONS,4397,16362,13722,7308,2791,1502,546,262,330
ATTOCK DISTRICT,7 PERSONS,2450,10117,10089,6017,2518,1273,573,262,288
ATTOCK DISTRICT,8 PERSONS,1257,5870,6479,4391,1895,1130,400,267,255
ATTOCK DISTRICT,9 PERSONS,637,3223,4219,3166,1483,894,355,215,231
ATTOCK DISTRICT,10 PERSONS AND ABOVE,864,4698,8119,8798,5028,3876,1706,1347,1812
AWARAN DISTRICT,1 PERSON,146,76,19,9,5,,1,,1
AWARAN DISTRICT,2 PERSONS,618,714,157,59,11,2,2,1,2
AWARAN DISTRICT,3 PERSONS,530,901,275,96,22,5,12,3,3
AWARAN DISTRICT,4 PERSONS,504,1107,394,167,24,14,10,6,6
AWARAN DISTRICT,5 PERSONS,390,1064,508,200,62,16,16,6,5
AWARAN DISTRICT,6 PERSONS,317,1016,502,251,69,21,14,2,12
AWARAN DISTRICT,7 PERSONS,210,865,515,269,93,46,23,13,8
AWARAN DISTRICT,8 PERSONS,171,551,433,252,93,39,16,7,12
AWARAN DISTRICT,9 PERSONS,105,408,307,194,82,45,23,8,12
AWARAN DISTRICT,10 PERSONS AND ABOVE,137,519,564,570,308,264,156,112,303
BADIN DISTRICT,1 PERSON,11380,669,237,73,50,11,53,10,20
BADIN DISTRICT,2 PERSONS,48544,3394,817,256,176,37,290,41,115
BADIN DISTRICT,3 PERSONS,44183,4326,900,285,181,44,251,28,123
BADIN DISTRICT,4 PERSONS,44089,5550,1159,341,177,36,283,30,89
BADIN DISTRICT,5 PERSONS,41441,6405,1391,406,202,43,241,34,101
BADIN DISTRICT,6 PERSONS,37196,6596,1440,421,228,49,258,25,88
BADIN DISTRICT,7 PERSONS,27212,5777,1351,345,178,61,161,28,81
BADIN DISTRICT,8 PERSONS,18066,4431,1074,303,124,35,106,21,52
BADIN DISTRICT,9 PERSONS,10540,3258,841,241,96,31,86,9,34
BADIN DISTRICT,10 PERSONS AND ABOVE,10471,4647,1741,656,228,87,132,27,58
BAHAWALNAGAR DISTRICT,1 PERSON,4815,2015,849,436,172,94,43,21,35
BAHAWALNAGAR DISTRICT,2 PERSONS,14902,8813,3025,1299,501,215,153,72,81
BAHAWALNAGAR DISTRICT,3 PERSONS,18215,13848,5443,2372,850,383,182,99,123
BAHAWALNAGAR DISTRICT,4 PERSONS,21993,20999,8878,4250,1491,698,320,135,177
BAHAWALNAGAR DISTRICT,5 PERSONS,23821,27931,13375,6293,2507,1116,564,266,263
BAHAWALNAGAR DISTRICT,6 PERSONS,21109,29447,14509,7258,2760,1314,609,288,303
BAHAWALNAGAR DISTRICT,7 PERSONS,14820,24188,12425,6076,2503,1183,571,270,314
BAHAWALNAGAR DISTRICT,8 PERSONS,8845,17045,9530,4864,1958,937,459,246,280
BAHAWALNAGAR DISTRICT,9 PERSONS,4708,10486,6676,3516,1487,858,374,204,192
BAHAWALNAGAR DISTRICT,10 PERSONS AND ABOVE,4739,14006,13065,9487,4852,3079,1441,1014,1203
BAHAWALPUR DISTRICT,1 PERSON,7279,2533,977,506,180,104,75,36,41
BAHAWALPUR DISTRICT,2 PERSONS,22693,10160,3417,1517,571,276,179,70,114
BAHAWALPUR DISTRICT,3 PERSONS,25502,15025,5761,2470,950,449,260,83,164
BAHAWALPUR DISTRICT,4 PERSONS,30313,23425,9453,4772,1773,823,468,196,249
BAHAWALPUR DISTRICT,5 PERSONS,31989,30318,14019,6926,2849,1321,647,281,368
BAHAWALPUR DISTRICT,6 PERSONS,28602,32262,15045,7644,3066,1444,730,325,405
BAHAWALPUR DISTRICT,7 PERSONS,20060,26312,12839,6404,2631,1285,640,338,352
BAHAWALPUR DISTRICT,8 PERSONS,12242,18815,9748,5099,2097,1118,511,281,317
BAHAWALPUR DISTRICT,9 PERSONS,6789,12035,7127,3876,1641,905,393,234,266
BAHAWALPUR DISTRICT,10 PERSONS AND ABOVE,7646,19212,17003,12194,6335,4071,1928,1414,1710
BAJAUR AGENCY,1 PERSON,236,129,96,81,44,19,14,9,11
BAJAUR AGENCY,2 PERSONS,2036,1309,433,261,81,61,33,14,17
BAJAUR AGENCY,3 PERSONS,2369,1959,749,375,118,59,35,23,25
BAJAUR AGENCY,4 PERSONS,2719,2901,1115,557,166,87,51,26,35
BAJAUR AGENCY,5 PERSONS,2736,3820,1778,869,289,125,65,39,58
BAJAUR AGENCY,6 PERSONS,2653,4669,2653,1279,409,201,98,54,83
BAJAUR AGENCY,7 PERSONS,2369,5087,3300,1703,584,258,128,76,98
BAJAUR AGENCY,8 PERSONS,1633,4582,3602,2094,750,363,138,85,120
BAJAUR AGENCY,9 PERSONS,981,3433,3432,2228,852,437,179,90,119
BAJAUR AGENCY,10 PERSONS AND ABOVE,1421,6133,9551,9968,6103,4232,1930,1272,2025
BANNU DISTRICT,1 PERSON,601,289,152,84,43,22,13,7,29
BANNU DISTRICT,2 PERSONS,1634,1069,438,168,73,48,23,13,23
BANNU DISTRICT,3 PERSONS,1763,1741,744,300,121,59,32,17,32
BANNU DISTRICT,4 PERSONS,2034,2755,1260,554,197,104,74,19,42
BANNU DISTRICT,5 PERSONS,2263,3858,2161,948,354,163,99,40,58
BANNU DISTRICT,6 PERSONS,2204,4813,3026,1400,533,261,126,59,76
BANNU DISTRICT,7 PERSONS,1743,4819,3738,1733,724,316,179,69,107
BANNU DISTRICT,8 PERSONS,1176,3989,3581,1980,794,376,175,92,94
BANNU DISTRICT,9 PERSONS,664,2843,3067,1855,832,371,185,88,88
BANNU DISTRICT,10 PERSONS AND ABOVE,1002,4654,9409,10077,6839,4737,2554,1706,2864
BARKHAN DISTRICT,1 PERSON,380,93,35,25,8,4,2,4,2
BARKHAN DISTRICT,2 PERSONS,1204,587,263,116,46,27,17,10,12
BARKHAN DISTRICT,3 PERSONS,1124,787,344,154,57,44,23,9,10
BARKHAN DISTRICT,4 PERSONS,1042,927,456,212,67,71,19,14,29
BARKHAN DISTRICT,5 PERSONS,1039,978,550,243,73,100,35,12,34
BARKHAN DISTRICT,6 PERSONS,765,916,625,270,88,105,25,17,39
BARKHAN DISTRICT,7 PERSONS,630,975,688,311,108,120,40,9,46
BARKHAN DISTRICT,8 PERSONS,402,751,557,306,108,101,38,16,50
BARKHAN DISTRICT,9 PERSONS,277,497,424,266,105,99,37,11,65
BARKHAN DISTRICT,10 PERSONS AND ABOVE,514,907,957,672,417,294,154,60,325
BATAGRAM DISTRICT,1 PERSON,406,162,46,21,7,4,1,4,3
BATAGRAM DISTRICT,2 PERSONS,2097,1798,374,104,28,28,11,5,9
BATAGRAM DISTRICT,3 PERSONS,2213,2524,629,204,72,36,18,8,10
BATAGRAM DISTRICT,4 PERSONS,2390,3366,981,366,103,46,23,10,15
BATAGRAM DISTRICT,5 PERSONS,2099,4208,1364,485,159,103,31,20,26
BATAGRAM DISTRICT,6 PERSONS,1740,4468,1608,692,217,145,29,33,26
BATAGRAM DISTRICT,7 PERSONS,1218,4053,1734,729,245,170,56,34,43
BATAGRAM DISTRICT,8 PERSONS,775,3401,1610,853,250,135,50,45,34
BATAGRAM DISTRICT,9 PERSONS,420,2253,1333,709,206,139,57,30,51
BATAGRAM DISTRICT,10 PERSONS AND ABOVE,491,3457,3196,2435,1102,875,306,311,426
BHAKKAR DISTRICT,1 PERSON,2569,1236,425,183,62,42,21,12,23
BHAKKAR DISTRICT,2 PERSONS,10803,7138,1869,695,234,109,73,20,47
BHAKKAR DISTRICT,3 PERSONS,11615,9683,3077,1140,392,184,111,41,53
BHAKKAR DISTRICT,4 PERSONS,12088,13922,5001,2014,696,313,147,64,102
BHAKKAR DISTRICT,5 PERSONS,11007,16332,6970,3032,1078,446,235,92,137
BHAKKAR DISTRICT,6 PERSONS,8945,16313,7649,3552,1201,554,269,146,195
