district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
ABBOTTABAD DISTRICT,RURAL,1 PERSON,2005,1151,374,144,54,33,14,6,16
ABBOTTABAD DISTRICT,RURAL,2 PERSONS,4845,5070,1434,528,157,68,44,25,24
ABBOTTABAD DISTRICT,RURAL,3 PERSONS,5001,7151,2646,968,267,136,45,34,46
ABBOTTABAD DISTRICT,RURAL,4 PERSONS,5470,9681,4418,1779,531,264,121,64,47
ABBOTTABAD DISTRICT,RURAL,5 PERSONS,5041,11660,6134,2725,800,401,131,84,94
ABBOTTABAD DISTRICT,RURAL,6 PERSONS,3832,10797,6571,3189,964,518,170,117,97
ABBOTTABAD DISTRICT,RURAL,7 PERSONS,2280,7772,5417,2795,940,440,182,107,108
ABBOTTABAD DISTRICT,RURAL,8 PERSONS,1167,4950,3948,2236,771,493,171,95,95
ABBOTTABAD DISTRICT,RURAL,9 PERSONS,561,2744,2588,1695,667,363,129,90,101
ABBOTTABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,606,3534,4553,4284,2241,1725,692,581,718
ABBOTTABAD DISTRICT,URBAN,1 PERSON,486,346,264,104,33,34,17,12,19
ABBOTTABAD DISTRICT,URBAN,2 PERSONS,613,773,491,258,88,66,29,20,40
ABBOTTABAD DISTRICT,URBAN,3 PERSONS,684,1230,910,436,165,99,34,39,33
ABBOTTABAD DISTRICT,URBAN,4 PERSONS,923,2062,1627,765,302,175,63,49,58
ABBOTTABAD DISTRICT,URBAN,5 PERSONS,865,2461,2370,1256,465,245,93,78,61
ABBOTTABAD DISTRICT,URBAN,6 PERSONS,636,2289,2251,1191,433,284,118,78,100
ABBOTTABAD DISTRICT,URBAN,7 PERSONS,308,1414,1548,832,345,247,106,79,59
ABBOTTABAD DISTRICT,URBAN,8 PERSONS,147,809,1006,672,249,174,90,59,61
ABBOTTABAD DISTRICT,URBAN,9 PERSONS,72,435,601,428,193,135,59,62,50
ABBOTTABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,128,600,1248,1137,714,666,289,305,360
ATTOCK DISTRICT,RURAL,1 PERSON,2320,2252,1063,498,175,76,38,28,51
ATTOCK DISTRICT,RURAL,2 PERSONS,3777,6373,3067,1483,508,248,100,48,76
ATTOCK DISTRICT,RURAL,3 PERSONS,3800,8440,4802,2223,774,356,137,74,83
ATTOCK DISTRICT,RURAL,4 PERSONS,4446,11809,7547,3889,1319,623,226,141,131
ATTOCK DISTRICT,RURAL,5 PERSONS,4531,13896,10147,5348,1968,919,373,191,246
ATTOCK DISTRICT,RURAL,6 PERSONS,3418,11986,9688,5699,2175,1116,379,187,260
ATTOCK DISTRICT,RURAL,7 PERSONS,1944,7622,7284,4722,1963,976,445,189,216
ATTOCK DISTRICT,RURAL,8 PERSONS,1014,4439,4740,3435,1467,862,311,195,211
ATTOCK DISTRICT,RURAL,9 PERSONS,511,2449,3102,2525,1138,664,286,176,192
ATTOCK DISTRICT,RURAL,10 PERSONS AND ABOVE,675,3516,5759,6649,3772,2900,1283,1012,1432
ATTOCK DISTRICT,URBAN,1 PERSON,657,574,356,163,67,32,16,32,16
ATTOCK DISTRICT,URBAN,2 PERSONS,903,1737,1171,400,155,92,41,24,32
ATTOCK DISTRICT,URBAN,3 PERSONS,991,2704,1882,673,270,127,51,32,43
ATTOCK DISTRICT,URBAN,4 PERSONS,1342,4388,3404,1175,463,254,113,43,53
ATTOCK DISTRICT,URBAN,5 PERSONS,1276,5511,4600,1595,602,308,140,72,59
ATTOCK DISTRICT,URBAN,6 PERSONS,979,4376,4034,1609,616,386,167,75,70
ATTOCK DISTRICT,URBAN,7 PERSONS,506,2495,2805,1295,555,297,128,73,72
ATTOCK DISTRICT,URBAN,8 PERSONS,243,1431,1739,956,428,268,89,72,44
ATTOCK DISTRICT,URBAN,9 PERSONS,126,774,1117,641,345,230,69,39,39
ATTOCK DISTRICT,URBAN,10 PERSONS AND ABOVE,189,1182,2360,2149,1256,976,423,335,380
AWARAN DISTRICT,RURAL,1 PERSON,120,49,17,5,1,,1,,1
AWARAN DISTRICT,RURAL,2 PERSONS,523,615,126,50,8,2,1,1,2
AWARAN DISTRICT,RURAL,3 PERSONS,438,757,222,80,12,2,9,3,1
AWARAN DISTRICT,RURAL,4 PERSONS,393,914,324,118,20,9,2,5,5
AWARAN DISTRICT,RURAL,5 PERSONS,301,865,398,142,45,6,7,5,3
AWARAN DISTRICT,RURAL,6 PERSONS,247,842,397,188,43,15,7,1,9
AWARAN DISTRICT,RURAL,7 PERSONS,165,686,395,183,62,27,14,9,4
AWARAN DISTRICT,RURAL,8 PERSONS,143,443,350,174,71,25,10,5,8
AWARAN DISTRICT,RURAL,9 PERSONS,81,312,259,136,55,29,10,5,6
