district,localities,hhsize,avg_rooms_per_house
ABBOTTABAD DISTRICT,RURAL,1 PERSON,1.78
ABBOTTABAD DISTRICT,RURAL,2 PERSONS,1.91
ABBOTTABAD DISTRICT,RURAL,3 PERSONS,2.1
ABBOTTABAD DISTRICT,RURAL,4 PERSONS,2.29
ABBOTTABAD DISTRICT,RURAL,5 PERSONS,2.46
ABBOTTABAD DISTRICT,RURAL,6 PERSONS,2.62
ABBOTTABAD DISTRICT,RURAL,7 PERSONS,2.78
ABBOTTABAD DISTRICT,RURAL,8 PERSONS,2.98
ABBOTTABAD DISTRICT,RURAL,9 PERSONS,3.2
ABBOTTABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,4.01
ABBOTTABAD DISTRICT,URBAN,1 PERSON,2.39
ABBOTTABAD DISTRICT,URBAN,2 PERSONS,2.62
ABBOTTABAD DISTRICT,URBAN,3 PERSONS,2.72
ABBOTTABAD DISTRICT,URBAN,4 PERSONS,2.81
ABBOTTABAD DISTRICT,URBAN,5 PERSONS,2.98
ABBOTTABAD DISTRICT,URBAN,6 PERSONS,3.11
ABBOTTABAD DISTRICT,URBAN,7 PERSONS,3.28
ABBOTTABAD DISTRICT,URBAN,8 PERSONS,3.49
ABBOTTABAD DISTRICT,URBAN,9 PERSONS,3.73
ABBOTTABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,4.57
ATTOCK DISTRICT,RURAL,1 PERSON,2.2
ATTOCK DISTRICT,RURAL,2 PERSONS,2.39
ATTOCK DISTRICT,RURAL,3 PERSONS,2.53
ATTOCK DISTRICT,RURAL,4 PERSONS,2.67
ATTOCK DISTRICT,RURAL,5 PERSONS,2.81
ATTOCK DISTRICT,RURAL,6 PERSONS,2.96
ATTOCK DISTRICT,RURAL,7 PERSONS,3.16
ATTOCK DISTRICT,RURAL,8 PERSONS,3.36
ATTOCK DISTRICT,RURAL,9 PERSONS,3.59
ATTOCK DISTRICT,RURAL,10 PERSONS AND ABOVE,4.36
ATTOCK DISTRICT,URBAN,1 PERSON,2.39
ATTOCK DISTRICT,URBAN,2 PERSONS,2.54
ATTOCK DISTRICT,URBAN,3 PERSONS,2.64
ATTOCK DISTRICT,URBAN,4 PERSONS,2.71
ATTOCK DISTRICT,URBAN,5 PERSONS,2.78
ATTOCK DISTRICT,URBAN,6 PERSONS,2.93
ATTOCK DISTRICT,URBAN,7 PERSONS,3.13
ATTOCK DISTRICT,URBAN,8 PERSONS,3.32
ATTOCK DISTRICT,URBAN,9 PERSONS,3.5
ATTOCK DISTRICT,URBAN,10 PERSONS AND ABOVE,4.26
