district,material,location,owned,rented,rentfree
ABBOTTABAD DISTRICT,Baked Bricks / Blocks / Stone,Wall,147269,23000,5133
ABBOTTABAD DISTRICT,Unbaked Bricks / Mud,Wall,30564,1502,1793
ABBOTTABAD DISTRICT,Wood / Bamboo,Wall,2803,195,246
ABBOTTABAD DISTRICT,Others,Wall,1216,237,175
ABBOTTABAD DISTRICT,Rcc / Rbc,Roof,76993,18044,2666
ABBOTTABAD DISTRICT,Cement / Iron Sheets,Roof,67461,5901,2826
ABBOTTABAD DISTRICT,Garder / T.Iron,Roof,2462,218,139
ABBOTTABAD DISTRICT,Wood / Bamboo,Roof,32476,504,1443
ABBOTTABAD DISTRICT,Others,Roof,2460,267,273
ATTOCK DISTRICT,Baked Bricks / Blocks / Stone,Wall,225323,37217,10992
ATTOCK DISTRICT,Unbaked Bricks / Mud,Wall,18881,1479,2072
ATTOCK DISTRICT,Wood / Bamboo,Wall,1838,341,666
ATTOCK DISTRICT,Others,Wall,2763,318,791
ATTOCK DISTRICT,Rcc / Rbc,Roof,99260,26599,3861
ATTOCK DISTRICT,Cement / Iron Sheets,Roof,17401,3926,1093
ATTOCK DISTRICT,Garder / T.Iron,Roof,89349,5229,4007
ATTOCK DISTRICT,Wood / Bamboo,Roof,39627,3190,4812
ATTOCK DISTRICT,Others,Roof,3168,411,748
AWARAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,2043,45,23
AWARAN DISTRICT,Unbaked Bricks / Mud,Wall,8087,30,15
AWARAN DISTRICT,Wood / Bamboo,Wall,6420,15,26
AWARAN DISTRICT,Others,Wall,1395,2,5
AWARAN DISTRICT,Rcc / Rbc,Roof,260,16,11
AWARAN DISTRICT,Cement / Iron Sheets,Roof,290,3,
AWARAN DISTRICT,Garder / T.Iron,Roof,3315,37,18
AWARAN DISTRICT,Wood / Bamboo,Roof,12572,35,32
AWARAN DISTRICT,Others,Roof,1508,1,8
BADIN DISTRICT,Baked Bricks / Blocks / Stone,Wall,87577,3880,2820
BADIN DISTRICT,Unbaked Bricks / Mud,Wall,60934,430,7576
BADIN DISTRICT,Wood / Bamboo,Wall,160593,788,18100
BADIN DISTRICT,Others,Wall,11608,98,2998
BADIN DISTRICT,Rcc / Rbc,Roof,14451,1564,1102
BADIN DISTRICT,Cement / Iron Sheets,Roof,5030,167,183
BADIN DISTRICT,Garder / T.Iron,Roof,65195,2104,1728
BADIN DISTRICT,Wood / Bamboo,Roof,227062,1264,25845
BADIN DISTRICT,Others,Roof,8974,97,2636
BAHAWALNAGAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,332310,19248,22595
BAHAWALNAGAR DISTRICT,Unbaked Bricks / Mud,Wall,73445,1092,17459
BAHAWALNAGAR DISTRICT,Wood / Bamboo,Wall,3568,136,1345
BAHAWALNAGAR DISTRICT,Others,Wall,6389,217,1827
BAHAWALNAGAR DISTRICT,Rcc / Rbc,Roof,46265,6417,1842
BAHAWALNAGAR DISTRICT,Cement / Iron Sheets,Roof,9526,785,733
BAHAWALNAGAR DISTRICT,Garder / T.Iron,Roof,261808,9866,19762
BAHAWALNAGAR DISTRICT,Wood / Bamboo,Roof,87111,3022,18612
BAHAWALNAGAR DISTRICT,Others,Roof,11002,603,2277
BAHAWALPUR DISTRICT,Baked Bricks / Blocks / Stone,Wall,388330,32903,17587
BAHAWALPUR DISTRICT,Unbaked Bricks / Mud,Wall,112763,1644,11313
BAHAWALPUR DISTRICT,Wood / Bamboo,Wall,4090,136,1182
BAHAWALPUR DISTRICT,Others,Wall,5653,203,1169
BAHAWALPUR DISTRICT,Rcc / Rbc,Roof,45092,12850,2310
BAHAWALPUR DISTRICT,Cement / Iron Sheets,Roof,7206,637,404
BAHAWALPUR DISTRICT,Garder / T.Iron,Roof,411961,19687,18859
BAHAWALPUR DISTRICT,Wood / Bamboo,Roof,41707,1428,8534
BAHAWALPUR DISTRICT,Others,Roof,4870,284,1144
BAJAUR AGENCY,Baked Bricks / Blocks / Stone,Wall,49671,977,4833
BAJAUR AGENCY,Unbaked Bricks / Mud,Wall,44568,1252,8632
BAJAUR AGENCY,Wood / Bamboo,Wall,5349,102,786
BAJAUR AGENCY,Others,Wall,4581,236,500
BAJAUR AGENCY,Rcc / Rbc,Roof,6449,467,540
BAJAUR AGENCY,Cement / Iron Sheets,Roof,2570,88,170
BAJAUR AGENCY,Garder / T.Iron,Roof,14527,478,1332
BAJAUR AGENCY,Wood / Bamboo,Roof,75642,1302,12188
BAJAUR AGENCY,Others,Roof,4981,232,521
BANNU DISTRICT,Baked Bricks / Blocks / Stone,Wall,55163,6430,1390
BANNU DISTRICT,Unbaked Bricks / Mud,Wall,41743,2339,4236
BANNU DISTRICT,Wood / Bamboo,Wall,3280,244,402
BANNU DISTRICT,Others,Wall,2741,252,319
BANNU DISTRICT,Rcc / Rbc,Roof,7567,2409,255
BANNU DISTRICT,Cement / Iron Sheets,Roof,2325,306,96
BANNU DISTRICT,Garder / T.Iron,Roof,58130,3968,1347
BANNU DISTRICT,Wood / Bamboo,Roof,31831,2319,4275
BANNU DISTRICT,Others,Roof,3074,263,374
BARKHAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,4629,111,172
BARKHAN DISTRICT,Unbaked Bricks / Mud,Wall,14304,451,525
BARKHAN DISTRICT,Wood / Bamboo,Wall,3604,61,465
BARKHAN DISTRICT,Others,Wall,1029,32,92
BARKHAN DISTRICT,Rcc / Rbc,Roof,235,17,21
BARKHAN DISTRICT,Cement / Iron Sheets,Roof,591,18,18
BARKHAN DISTRICT,Garder / T.Iron,Roof,4534,121,75
BARKHAN DISTRICT,Wood / Bamboo,Roof,17111,473,1043
BARKHAN DISTRICT,Others,Roof,1095,26,97
BATAGRAM DISTRICT,Baked Bricks / Blocks / Stone,Wall,37332,2144,4523
BATAGRAM DISTRICT,Unbaked Bricks / Mud,Wall,16123,1325,4819
BATAGRAM DISTRICT,Wood / Bamboo,Wall,953,43,649
BATAGRAM DISTRICT,Others,Wall,561,113,222
BATAGRAM DISTRICT,Rcc / Rbc,Roof,15595,670,818
BATAGRAM DISTRICT,Cement / Iron Sheets,Roof,28970,854,3338
BATAGRAM DISTRICT,Garder / T.Iron,Roof,728,54,364
BATAGRAM DISTRICT,Wood / Bamboo,Roof,7923,1468,4426
BATAGRAM DISTRICT,Others,Roof,1753,579,1267
BHAKKAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,192434,5354,5882
BHAKKAR DISTRICT,Unbaked Bricks / Mud,Wall,51767,700,3293
BHAKKAR DISTRICT,Wood / Bamboo,Wall,2233,155,668
BHAKKAR DISTRICT,Others,Wall,3952,81,798
BHAKKAR DISTRICT,Rcc / Rbc,Roof,7944,947,314
BHAKKAR DISTRICT,Cement / Iron Sheets,Roof,3894,196,116
BHAKKAR DISTRICT,Garder / T.Iron,Roof,200553,4118,5641
BHAKKAR DISTRICT,Wood / Bamboo,Roof,33908,932,3826
BHAKKAR DISTRICT,Others,Roof,4087,97,744
BUNER DISTRICT,Baked Bricks / Blocks / Stone,Wall,54545,3877,5476
BUNER DISTRICT,Unbaked Bricks / Mud,Wall,12677,2453,6856
BUNER DISTRICT,Wood / Bamboo,Wall,2844,615,1789
BUNER DISTRICT,Others,Wall,1086,338,434
BUNER DISTRICT,Rcc / Rbc,Roof,29786,1397,986
BUNER DISTRICT,Cement / Iron Sheets,Roof,14105,908,642
BUNER DISTRICT,Garder / T.Iron,Roof,1537,190,550
BUNER DISTRICT,Wood / Bamboo,Roof,24192,4387,11841
BUNER DISTRICT,Others,Roof,1532,401,536
CHAGAI DISTRICT,Baked Bricks / Blocks / Stone,Wall,1815,366,124
CHAGAI DISTRICT,Unbaked Bricks / Mud,Wall,26233,564,318
CHAGAI DISTRICT,Wood / Bamboo,Wall,1765,33,16
CHAGAI DISTRICT,Others,Wall,1237,13,25
CHAGAI DISTRICT,Rcc / Rbc,Roof,319,124,70
CHAGAI DISTRICT,Cement / Iron Sheets,Roof,261,14,4
CHAGAI DISTRICT,Garder / T.Iron,Roof,2982,313,55
CHAGAI DISTRICT,Wood / Bamboo,Roof,26135,501,328
CHAGAI DISTRICT,Others,Roof,1353,24,26
CHAKWAL DISTRICT,Baked Bricks / Blocks / Stone,Wall,215940,15072,8072
CHAKWAL DISTRICT,Unbaked Bricks / Mud,Wall,17795,1052,1299
CHAKWAL DISTRICT,Wood / Bamboo,Wall,1505,215,498
CHAKWAL DISTRICT,Others,Wall,2631,289,600
CHAKWAL DISTRICT,Rcc / Rbc,Roof,53848,7867,2263
CHAKWAL DISTRICT,Cement / Iron Sheets,Roof,17276,1191,962
CHAKWAL DISTRICT,Garder / T.Iron,Roof,138161,5634,4074
CHAKWAL DISTRICT,Wood / Bamboo,Roof,25433,1641,2584
CHAKWAL DISTRICT,Others,Roof,3153,295,586
CHARSADDA DISTRICT,Baked Bricks / Blocks / Stone,Wall,141145,9435,6790
CHARSADDA DISTRICT,Unbaked Bricks / Mud,Wall,37758,4724,11090
CHARSADDA DISTRICT,Wood / Bamboo,Wall,1698,274,750
CHARSADDA DISTRICT,Others,Wall,2798,285,657
CHARSADDA DISTRICT,Rcc / Rbc,Roof,62007,3537,1983
CHARSADDA DISTRICT,Cement / Iron Sheets,Roof,10329,672,719
CHARSADDA DISTRICT,Garder / T.Iron,Roof,44309,2490,2537
CHARSADDA DISTRICT,Wood / Bamboo,Roof,63158,7702,13418
CHARSADDA DISTRICT,Others,Roof,3596,317,630
CHINIOT DISTRICT,Baked Bricks / Blocks / Stone,Wall,156990,11177,13281
CHINIOT DISTRICT,Unbaked Bricks / Mud,Wall,23867,511,6603
CHINIOT DISTRICT,Wood / Bamboo,Wall,1131,117,307
CHINIOT DISTRICT,Others,Wall,3196,200,684
CHINIOT DISTRICT,Rcc / Rbc,Roof,11124,2454,1333
CHINIOT DISTRICT,Cement / Iron Sheets,Roof,2116,246,311
CHINIOT DISTRICT,Garder / T.Iron,Roof,132921,6942,10424
CHINIOT DISTRICT,Wood / Bamboo,Roof,35978,2156,8051
CHINIOT DISTRICT,Others,Roof,3045,207,756
CHITRAL DISTRICT,Baked Bricks / Blocks / Stone,Wall,17899,922,503
CHITRAL DISTRICT,Unbaked Bricks / Mud,Wall,37570,1195,673
CHITRAL DISTRICT,Wood / Bamboo,Wall,1350,48,78
CHITRAL DISTRICT,Others,Wall,591,18,36
CHITRAL DISTRICT,Rcc / Rbc,Roof,1940,404,75
CHITRAL DISTRICT,Cement / Iron Sheets,Roof,19966,958,233
CHITRAL DISTRICT,Garder / T.Iron,Roof,1004,31,18
CHITRAL DISTRICT,Wood / Bamboo,Roof,29036,645,754
CHITRAL DISTRICT,Others,Roof,5464,145,210
DADU DISTRICT,Baked Bricks / Blocks / Stone,Wall,112960,8267,1422
DADU DISTRICT,Unbaked Bricks / Mud,Wall,119133,2121,2050
DADU DISTRICT,Wood / Bamboo,Wall,29123,391,1592
DADU DISTRICT,Others,Wall,6381,128,695
DADU DISTRICT,Rcc / Rbc,Roof,4998,866,264
DADU DISTRICT,Cement / Iron Sheets,Roof,6776,406,132
DADU DISTRICT,Garder / T.Iron,Roof,123462,7569,1158
DADU DISTRICT,Wood / Bamboo,Roof,126347,1935,3615
DADU DISTRICT,Others,Roof,6014,131,590
DERA BUGTI DISTRICT,Baked Bricks / Blocks / Stone,Wall,7383,570,902
DERA BUGTI DISTRICT,Unbaked Bricks / Mud,Wall,18312,165,1449
DERA BUGTI DISTRICT,Wood / Bamboo,Wall,10836,70,1339
DERA BUGTI DISTRICT,Others,Wall,4313,24,271
DERA BUGTI DISTRICT,Rcc / Rbc,Roof,284,501,513
DERA BUGTI DISTRICT,Cement / Iron Sheets,Roof,874,29,80
DERA BUGTI DISTRICT,Garder / T.Iron,Roof,7056,64,412
DERA BUGTI DISTRICT,Wood / Bamboo,Roof,28598,213,2726
DERA BUGTI DISTRICT,Others,Roof,4032,22,230
DERA GHAZI KHAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,176710,14318,4422
DERA GHAZI KHAN DISTRICT,Unbaked Bricks / Mud,Wall,122593,1340,3629
DERA GHAZI KHAN DISTRICT,Wood / Bamboo,Wall,7382,239,757
DERA GHAZI KHAN DISTRICT,Others,Wall,6822,266,724
DERA GHAZI KHAN DISTRICT,Rcc / Rbc,Roof,13986,3670,983
DERA GHAZI KHAN DISTRICT,Cement / Iron Sheets,Roof,5652,689,132
DERA GHAZI KHAN DISTRICT,Garder / T.Iron,Roof,173084,9861,3310
DERA GHAZI KHAN DISTRICT,Wood / Bamboo,Roof,111967,1615,4357
DERA GHAZI KHAN DISTRICT,Others,Roof,8818,328,750
DERA ISMAIL KHAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,89977,12089,2877
DERA ISMAIL KHAN DISTRICT,Unbaked Bricks / Mud,Wall,78511,1939,3561
DERA ISMAIL KHAN DISTRICT,Wood / Bamboo,Wall,3222,97,752
DERA ISMAIL KHAN DISTRICT,Others,Wall,3590,196,1092
DERA ISMAIL KHAN DISTRICT,Rcc / Rbc,Roof,4938,2074,498
DERA ISMAIL KHAN DISTRICT,Cement / Iron Sheets,Roof,1525,107,78
DERA ISMAIL KHAN DISTRICT,Garder / T.Iron,Roof,110460,10285,3227
DERA ISMAIL KHAN DISTRICT,Wood / Bamboo,Roof,54999,1679,3463
DERA ISMAIL KHAN DISTRICT,Others,Roof,3378,176,1016
FAISALABAD DISTRICT,Baked Bricks / Blocks / Stone,Wall,953856,148816,46356
FAISALABAD DISTRICT,Unbaked Bricks / Mud,Wall,37935,2859,5306
FAISALABAD DISTRICT,Wood / Bamboo,Wall,4521,462,924
FAISALABAD DISTRICT,Others,Wall,6665,787,1467
FAISALABAD DISTRICT,Rcc / Rbc,Roof,201632,48565,12083
FAISALABAD DISTRICT,Cement / Iron Sheets,Roof,17238,3357,913
FAISALABAD DISTRICT,Garder / T.Iron,Roof,644323,87386,24562
FAISALABAD DISTRICT,Wood / Bamboo,Roof,123774,11948,14207
FAISALABAD DISTRICT,Others,Roof,16010,1668,2288
FR BANNU,Baked Bricks / Blocks / Stone,Wall,817,,37
FR BANNU,Unbaked Bricks / Mud,Wall,1955,6,20
FR BANNU,Wood / Bamboo,Wall,246,1,13
FR BANNU,Others,Wall,996,,8
FR BANNU,Rcc / Rbc,Roof,35,,12
FR BANNU,Cement / Iron Sheets,Roof,74,,2
FR BANNU,Garder / T.Iron,Roof,778,3,18
FR BANNU,Wood / Bamboo,Roof,2125,4,37
FR BANNU,Others,Roof,1002,,9
FR D.I.KHAN,Baked Bricks / Blocks / Stone,Wall,4100,31,107
FR D.I.KHAN,Unbaked Bricks / Mud,Wall,1625,40,30
FR D.I.KHAN,Wood / Bamboo,Wall,548,5,34
