district,localities,material,location,owned,rented,rentfree
ABBOTTABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,122753,7109,3446
ABBOTTABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,29858,771,1644
ABBOTTABAD DISTRICT,Rural,Wood / Bamboo,Wall,2685,96,220
ABBOTTABAD DISTRICT,Rural,Others,Wall,1050,82,111
ABBOTTABAD DISTRICT,Rural,Rcc / Rbc,Roof,55715,5031,1462
ABBOTTABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,63960,2505,2241
ABBOTTABAD DISTRICT,Rural,Garder / T.Iron,Roof,2151,88,115
ABBOTTABAD DISTRICT,Rural,Wood / Bamboo,Roof,32262,328,1397
ABBOTTABAD DISTRICT,Rural,Others,Roof,2258,106,206
ABBOTTABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,24516,15891,1687
ABBOTTABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,706,731,149
ABBOTTABAD DISTRICT,Urban,Wood / Bamboo,Wall,118,99,26
ABBOTTABAD DISTRICT,Urban,Others,Wall,166,155,64
ABBOTTABAD DISTRICT,Urban,Rcc / Rbc,Roof,21278,13013,1204
ABBOTTABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,3501,3396,585
ABBOTTABAD DISTRICT,Urban,Garder / T.Iron,Roof,311,130,24
ABBOTTABAD DISTRICT,Urban,Wood / Bamboo,Roof,214,176,46
ABBOTTABAD DISTRICT,Urban,Others,Roof,202,161,67
ATTOCK DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,181200,9722,8563
ATTOCK DISTRICT,Rural,Unbaked Bricks / Mud,Wall,17626,915,1869
ATTOCK DISTRICT,Rural,Wood / Bamboo,Wall,1727,253,524
ATTOCK DISTRICT,Rural,Others,Wall,2446,176,583
ATTOCK DISTRICT,Rural,Rcc / Rbc,Roof,67681,4687,2463
ATTOCK DISTRICT,Rural,Cement / Iron Sheets,Roof,12613,866,605
ATTOCK DISTRICT,Rural,Garder / T.Iron,Roof,82772,3071,3546
ATTOCK DISTRICT,Rural,Wood / Bamboo,Roof,37115,2199,4363
ATTOCK DISTRICT,Rural,Others,Roof,2818,243,562
ATTOCK DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,44123,27495,2429
ATTOCK DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1255,564,203
ATTOCK DISTRICT,Urban,Wood / Bamboo,Wall,111,88,142
ATTOCK DISTRICT,Urban,Others,Wall,317,142,208
ATTOCK DISTRICT,Urban,Rcc / Rbc,Roof,31579,21912,1398
ATTOCK DISTRICT,Urban,Cement / Iron Sheets,Roof,4788,3060,488
ATTOCK DISTRICT,Urban,Garder / T.Iron,Roof,6577,2158,461
ATTOCK DISTRICT,Urban,Wood / Bamboo,Roof,2512,991,449
ATTOCK DISTRICT,Urban,Others,Roof,350,168,186
AWARAN DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,1002,4,1
AWARAN DISTRICT,Rural,Unbaked Bricks / Mud,Wall,6103,4,6
AWARAN DISTRICT,Rural,Wood / Bamboo,Wall,5638,11,15
AWARAN DISTRICT,Rural,Others,Wall,1132,2,4
AWARAN DISTRICT,Rural,Rcc / Rbc,Roof,93,,
AWARAN DISTRICT,Rural,Cement / Iron Sheets,Roof,218,1,
AWARAN DISTRICT,Rural,Garder / T.Iron,Roof,1792,6,1
AWARAN DISTRICT,Rural,Wood / Bamboo,Roof,10353,13,17
AWARAN DISTRICT,Rural,Others,Roof,1419,1,8
AWARAN DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,1041,41,22
AWARAN DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1984,26,9
AWARAN DISTRICT,Urban,Wood / Bamboo,Wall,782,4,11
AWARAN DISTRICT,Urban,Others,Wall,263,,1
AWARAN DISTRICT,Urban,Rcc / Rbc,Roof,167,16,11
AWARAN DISTRICT,Urban,Cement / Iron Sheets,Roof,72,2,
AWARAN DISTRICT,Urban,Garder / T.Iron,Roof,1523,31,17
AWARAN DISTRICT,Urban,Wood / Bamboo,Roof,2219,22,15
AWARAN DISTRICT,Urban,Others,Roof,89,,
BADIN DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,48279,335,1249
BADIN DISTRICT,Rural,Unbaked Bricks / Mud,Wall,52749,277,6881
BADIN DISTRICT,Rural,Wood / Bamboo,Wall,140693,605,16704
BADIN DISTRICT,Rural,Others,Wall,10615,63,2756
BADIN DISTRICT,Rural,Rcc / Rbc,Roof,4125,58,95
BADIN DISTRICT,Rural,Cement / Iron Sheets,Roof,3358,40,141
BADIN DISTRICT,Rural,Garder / T.Iron,Roof,39287,269,1211
BADIN DISTRICT,Rural,Wood / Bamboo,Roof,197349,855,23683
BADIN DISTRICT,Rural,Others,Roof,8217,58,2460
BADIN DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,39298,3545,1571
BADIN DISTRICT,Urban,Unbaked Bricks / Mud,Wall,8185,153,695
BADIN DISTRICT,Urban,Wood / Bamboo,Wall,19900,183,1396
BADIN DISTRICT,Urban,Others,Wall,993,35,242
BADIN DISTRICT,Urban,Rcc / Rbc,Roof,10326,1506,1007
BADIN DISTRICT,Urban,Cement / Iron Sheets,Roof,1672,127,42
BADIN DISTRICT,Urban,Garder / T.Iron,Roof,25908,1835,517
BADIN DISTRICT,Urban,Wood / Bamboo,Roof,29713,409,2162
BADIN DISTRICT,Urban,Others,Roof,757,39,176
BAHAWALNAGAR DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,255695,4479,19074
BAHAWALNAGAR DISTRICT,Rural,Unbaked Bricks / Mud,Wall,69505,681,16979
BAHAWALNAGAR DISTRICT,Rural,Wood / Bamboo,Wall,3069,52,1159
BAHAWALNAGAR DISTRICT,Rural,Others,Wall,5678,85,1652
BAHAWALNAGAR DISTRICT,Rural,Rcc / Rbc,Roof,19462,848,874
BAHAWALNAGAR DISTRICT,Rural,Cement / Iron Sheets,Roof,5851,287,584
BAHAWALNAGAR DISTRICT,Rural,Garder / T.Iron,Roof,225702,3146,18144
BAHAWALNAGAR DISTRICT,Rural,Wood / Bamboo,Roof,74287,890,17250
BAHAWALNAGAR DISTRICT,Rural,Others,Roof,8645,126,2012
BAHAWALNAGAR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,76615,14769,3521
BAHAWALNAGAR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3940,411,480
BAHAWALNAGAR DISTRICT,Urban,Wood / Bamboo,Wall,499,84,186
BAHAWALNAGAR DISTRICT,Urban,Others,Wall,711,132,175
BAHAWALNAGAR DISTRICT,Urban,Rcc / Rbc,Roof,26803,5569,968
BAHAWALNAGAR DISTRICT,Urban,Cement / Iron Sheets,Roof,3675,498,149
BAHAWALNAGAR DISTRICT,Urban,Garder / T.Iron,Roof,36106,6720,1618
BAHAWALNAGAR DISTRICT,Urban,Wood / Bamboo,Roof,12824,2132,1362
