district,localities,head,water_type,source,owned,rented,rentfree,total,pct
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Inside,Tap,95930,17393,3561,116884,54.58
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,14926,4784,873,20583,9.609999999999999
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,1536,249,59,1844,.86
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,1043,34,38,1115,.52
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Inside,Others,6435,424,498,7357,3.44
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Tap,25632,991,987,27610,12.89
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,7413,554,345,8312,3.88
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,2184,30,81,2295,1.07
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,1530,5,42,1577,.74
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Spring,22950,155,707,23812,11.12
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,570,29,28,627,.29
ABBOTTABAD DISTRICT,All,Source Of Drinking Water,Outside,Others,1703,286,128,2117,.99
ABBOTTABAD DISTRICT,All,Cooking Fuel Used,,Wood,124657,2270,4420,131347,61.34
ABBOTTABAD DISTRICT,All,Cooking Fuel Used,,Gas,56010,22204,2688,80902,37.78
ABBOTTABAD DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,89,36,20,145,.07
ABBOTTABAD DISTRICT,All,Cooking Fuel Used,,Others,1096,424,219,1739,.8100000000000001
ABBOTTABAD DISTRICT,All,Source Of Lighting,,Electricity,179480,24563,6732,210775,98.43000000000001
ABBOTTABAD DISTRICT,All,Source Of Lighting,,Kerosene Oil,1190,173,214,1577,.74
ABBOTTABAD DISTRICT,All,Source Of Lighting,,Gas Lamp,142,19,24,185,.09
ABBOTTABAD DISTRICT,All,Source Of Lighting,,ÓThers,1040,179,377,1596,.75
ABBOTTABAD DISTRICT,All,Source Of Lighting,,Total,181852,24934,7347,214133,100
ABBOTTABAD DISTRICT,All,Source Of Lighting,,Percent,84.92,11.64,3.43,100,
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,76004,4764,2264,83032,48.89
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,11151,2078,511,13740,8.09
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,1318,51,35,1404,.83
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,1016,10,35,1061,.62
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Inside,Others,6257,262,438,6957,4.1
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,24934,321,896,26151,15.4
