district,localities,facility,type,owned,rented,rentfree,total,pct
BANNU DISTRICT,All,Kitchen,Separate,58015,4982,2833,65830,55.53
BANNU DISTRICT,All,Kitchen,Shared,31166,2414,1299,34879,29.42
BANNU DISTRICT,All,Kitchen,None,13746,1869,2215,17830,15.04
BANNU DISTRICT,All,Bathroom,Separate,65472,5973,3376,74821,63.12
BANNU DISTRICT,All,Bathroom,Shared,30484,2694,1586,34764,29.33
BANNU DISTRICT,All,Bathroom,None,6971,598,1385,8954,7.55
BANNU DISTRICT,All,Latrine,Connected With Sewerage,16155,2910,651,19716,16.63
BANNU DISTRICT,All,Latrine,Connected With Septic Tank,23116,2507,827,26450,22.31
BANNU DISTRICT,All,Latrine,Connected With Open Drain,7944,925,613,9482,8
BANNU DISTRICT,All,Latrine,Pit With Slab,21006,1126,685,22817,19.25
BANNU DISTRICT,All,Latrine,Other,13690,769,981,15440,13.03
BANNU DISTRICT,All,Latrine,None,21016,1028,2590,24634,20.78
BANNU DISTRICT,Rural,Kitchen,Separate,56294,3485,2770,62549,55.58
BANNU DISTRICT,Rural,Kitchen,Shared,29905,1707,1258,32870,29.21
BANNU DISTRICT,Rural,Kitchen,None,13463,1482,2181,17126,15.22
BANNU DISTRICT,Rural,Bathroom,Separate,63414,4251,3292,70957,63.05
BANNU DISTRICT,Rural,Bathroom,Shared,29322,1860,1538,32720,29.07
BANNU DISTRICT,Rural,Bathroom,None,6926,563,1379,8868,7.88
BANNU DISTRICT,Rural,Latrine,Connected With Sewerage,14504,1511,591,16606,14.75
BANNU DISTRICT,Rural,Latrine,Connected With Septic Tank,22569,1828,787,25184,22.38
BANNU DISTRICT,Rural,Latrine,Connected With Open Drain,7590,720,594,8904,7.91
BANNU DISTRICT,Rural,Latrine,Pit With Slab,20641,953,674,22268,19.79
BANNU DISTRICT,Rural,Latrine,Other,13351,652,977,14980,13.31
BANNU DISTRICT,Rural,Latrine,None,21007,1010,2586,24603,21.86
BANNU DISTRICT,Urban,Kitchen,Separate,1721,1497,63,3281,54.74
BANNU DISTRICT,Urban,Kitchen,Shared,1261,707,41,2009,33.52
BANNU DISTRICT,Urban,Kitchen,None,283,387,34,704,11.75
BANNU DISTRICT,Urban,Bathroom,Separate,2058,1722,84,3864,64.45999999999999
BANNU DISTRICT,Urban,Bathroom,Shared,1162,834,48,2044,34.1
BANNU DISTRICT,Urban,Bathroom,None,45,35,6,86,1.43
BANNU DISTRICT,Urban,Latrine,Connected With Sewerage,1651,1399,60,3110,51.89
BANNU DISTRICT,Urban,Latrine,Connected With Septic Tank,547,679,40,1266,21.12
BANNU DISTRICT,Urban,Latrine,Connected With Open Drain,354,205,19,578,9.640000000000001
BANNU DISTRICT,Urban,Latrine,Pit With Slab,365,173,11,549,9.16
BANNU DISTRICT,Urban,Latrine,Other,339,117,4,460,7.67
BANNU DISTRICT,Urban,Latrine,None,9,18,4,31,.52
LAKKI MARWAT DISTRICT,All,Kitchen,Separate,49239,2300,1114,52653,53.99
LAKKI MARWAT DISTRICT,All,Kitchen,Shared,26476,1089,783,28348,29.07
LAKKI MARWAT DISTRICT,All,Kitchen,None,14791,743,992,16526,16.95
LAKKI MARWAT DISTRICT,All,Bathroom,Separate,52667,2685,1208,56560,57.99
LAKKI MARWAT DISTRICT,All,Bathroom,Shared,27705,1111,852,29668,30.42
LAKKI MARWAT DISTRICT,All,Bathroom,None,10134,336,829,11299,11.59
LAKKI MARWAT DISTRICT,All,Latrine,Connected With Sewerage,4606,366,118,5090,5.22
LAKKI MARWAT DISTRICT,All,Latrine,Connected With Septic Tank,38163,2198,757,41118,42.16
LAKKI MARWAT DISTRICT,All,Latrine,Connected With Open Drain,3057,184,174,3415,3.5
LAKKI MARWAT DISTRICT,All,Latrine,Pit With Slab,18940,811,389,20140,20.65
LAKKI MARWAT DISTRICT,All,Latrine,Other,4413,63,181,4657,4.78
LAKKI MARWAT DISTRICT,All,Latrine,None,21327,510,1270,23107,23.69
LAKKI MARWAT DISTRICT,Rural,Kitchen,Separate,43329,935,965,45229,52.22
LAKKI MARWAT DISTRICT,Rural,Kitchen,Shared,25200,680,706,26586,30.7
LAKKI MARWAT DISTRICT,Rural,Kitchen,None,13541,315,934,14790,17.08
LAKKI MARWAT DISTRICT,Rural,Bathroom,Separate,46274,1138,1040,48452,55.95
LAKKI MARWAT DISTRICT,Rural,Bathroom,Shared,26004,545,776,27325,31.55
LAKKI MARWAT DISTRICT,Rural,Bathroom,None,9792,247,789,10828,12.5
LAKKI MARWAT DISTRICT,Rural,Latrine,Connected With Sewerage,3013,48,97,3158,3.65
LAKKI MARWAT DISTRICT,Rural,Latrine,Connected With Septic Tank,33801,953,664,35418,40.9
LAKKI MARWAT DISTRICT,Rural,Latrine,Connected With Open Drain,2826,70,117,3013,3.48
LAKKI MARWAT DISTRICT,Rural,Latrine,Pit With Slab,16829,333,312,17474,20.18
LAKKI MARWAT DISTRICT,Rural,Latrine,Other,4388,53,169,4610,5.32
LAKKI MARWAT DISTRICT,Rural,Latrine,None,21213,473,1246,22932,26.48
LAKKI MARWAT DISTRICT,Urban,Kitchen,Separate,5910,1365,149,7424,67.97
LAKKI MARWAT DISTRICT,Urban,Kitchen,Shared,1276,409,77,1762,16.13
LAKKI MARWAT DISTRICT,Urban,Kitchen,None,1250,428,58,1736,15.89
LAKKI MARWAT DISTRICT,Urban,Bathroom,Separate,6393,1547,168,8108,74.23999999999999
LAKKI MARWAT DISTRICT,Urban,Bathroom,Shared,1701,566,76,2343,21.45
LAKKI MARWAT DISTRICT,Urban,Bathroom,None,342,89,40,471,4.31
LAKKI MARWAT DISTRICT,Urban,Latrine,Connected With Sewerage,1593,318,21,1932,17.69
LAKKI MARWAT DISTRICT,Urban,Latrine,Connected With Septic Tank,4362,1245,93,5700,52.19
LAKKI MARWAT DISTRICT,Urban,Latrine,Connected With Open Drain,231,114,57,402,3.68
LAKKI MARWAT DISTRICT,Urban,Latrine,Pit With Slab,2111,478,77,2666,24.41
LAKKI MARWAT DISTRICT,Urban,Latrine,Other,25,10,12,47,.43
LAKKI MARWAT DISTRICT,Urban,Latrine,None,114,37,24,175,1.6
DERA ISMAIL KHAN DISTRICT,All,Kitchen,Separate,86845,8004,2288,97137,49.08
DERA ISMAIL KHAN DISTRICT,All,Kitchen,Shared,33081,3004,1088,37173,18.78
DERA ISMAIL KHAN DISTRICT,All,Kitchen,None,55374,3313,4906,63593,32.13
DERA ISMAIL KHAN DISTRICT,All,Bathroom,Separate,93990,9558,2550,106098,53.61
DERA ISMAIL KHAN DISTRICT,All,Bathroom,Shared,40794,3475,1408,45677,23.08
DERA ISMAIL KHAN DISTRICT,All,Bathroom,None,40516,1288,4324,46128,23.31
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Sewerage,17109,2716,513,20338,10.28
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Septic Tank,47073,4596,1477,53146,26.85
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Open Drain,20103,2857,1315,24275,12.27
DERA ISMAIL KHAN DISTRICT,All,Latrine,Pit With Slab,65152,3196,1549,69897,35.32
DERA ISMAIL KHAN DISTRICT,All,Latrine,Other,5738,388,449,6575,3.32
DERA ISMAIL KHAN DISTRICT,All,Latrine,None,20125,568,2979,23672,11.96
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,Separate,63528,3820,1646,68994,46.62
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,Shared,23499,1427,817,25743,17.39
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,None,47184,1871,4215,53270,35.99
DERA ISMAIL KHAN DISTRICT,Rural,Bathroom,Separate,67037,4482,1669,73188,49.45
DERA ISMAIL KHAN DISTRICT,Rural,Bathroom,Shared,30100,1656,1006,32762,22.14
