district,localities,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
BANNU DISTRICT,Rural,109397,9656,12802,5886,2455,108534,7884
BANNU DISTRICT,Urban,5911,241,3427,857,850,5863,1532
LAKKI MARWAT DISTRICT,Rural,82643,6429,10892,2292,519,82236,4283
LAKKI MARWAT DISTRICT,Urban,10678,470,5065,1155,314,10596,1749
DERA ISMAIL KHAN DISTRICT,Rural,140301,9361,47387,3308,1946,139013,8150
DERA ISMAIL KHAN DISTRICT,Urban,48823,2389,34347,2916,4693,48162,9022
TANK DISTRICT,Rural,35042,4111,3856,1566,357,34851,1697
TANK DISTRICT,Urban,5594,315,2533,381,154,5545,831
ABBOTTABAD DISTRICT,Rural,165838,10808,93673,7677,5170,164366,13668
ABBOTTABAD DISTRICT,Urban,43975,2348,36990,6577,7671,43514,14120
BATAGRAM DISTRICT,Rural,65531,5289,5571,4882,873,65235,3340
BATAGRAM DISTRICT,Urban,,,,,,,
HARIPUR DISTRICT,Rural,136413,11578,91241,16315,7935,134737,16974
HARIPUR DISTRICT,Urban,20971,1505,17256,4457,3701,20777,6281
MANSEHRA DISTRICT,Rural,205010,8458,74521,10971,4009,202723,14765
MANSEHRA DISTRICT,Urban,21181,489,15777,3106,2343,21032,5617
TORGHAR DISTRICT,Rural,24767,3521,538,216,110,24594,351
TORGHAR DISTRICT,Urban,,,,,,,
KOHISTAN DISTRICT,Rural,40759,19262,2611,3422,6347,39394,847
KOHISTAN DISTRICT,Urban,,,,,,,
HANGU DISTRICT,Rural,35785,6471,5124,1108,2369,35318,2703
HANGU DISTRICT,Urban,9758,1814,3660,527,387,9710,1011
KARAK DISTRICT,Rural,65174,6968,11126,4010,972,64675,3891
KARAK DISTRICT,Urban,5189,514,2073,723,124,5155,872
KOHAT DISTRICT,Rural,80809,5340,19523,1982,2053,79520,5554
KOHAT DISTRICT,Urban,34233,1363,22381,2136,2321,33834,6607
MARDAN DISTRICT,Rural,242783,15027,71649,16126,4672,241535,26591
MARDAN DISTRICT,Urban,57849,6108,33555,9969,3555,57440,13827
SWABI DISTRICT,Rural,168920,7774,40375,5184,3824,168132,15594
SWABI DISTRICT,Urban,35703,2180,12212,1788,1139,35256,5262
CHARSADDA DISTRICT,Rural,173787,24900,39423,17854,3174,172621,15545
CHARSADDA DISTRICT,Urban,35815,6111,15004,5786,1286,35362,5151
NOWSHERA DISTRICT,Rural,144888,10532,67763,11627,3599,143329,17776
NOWSHERA DISTRICT,Urban,44506,2478,29909,7001,2462,44004,10985
PESHAWAR DISTRICT,Rural,249019,26611,75628,17217,5404,247203,24148
PESHAWAR DISTRICT,Urban,234921,26404,168189,37347,32100,232502,67508
BUNER DISTRICT,Rural,89709,7571,9020,4374,2578,89447,6420
BUNER DISTRICT,Urban,,,,,,,
CHITRAL DISTRICT,Rural,49522,10608,18560,1746,6571,48188,4943
CHITRAL DISTRICT,Urban,6728,1463,4230,1012,1180,6658,1712
SHANGLA DISTRICT,Rural,85945,10657,6489,1893,2532,85346,2995
SHANGLA DISTRICT,Urban,0,,,,,,
SWAT DISTRICT,Rural,182579,14847,28819,6235,5912,181771,14078
SWAT DISTRICT,Urban,83453,5114,33902,5680,6065,82899,12568
LOWER DIR DISTRICT,Rural,147186,24280,23266,10017,3481,146602,14687
LOWER DIR DISTRICT,Urban,4483,500,1936,667,371,4446,793
UPPER DIR DISTRICT,Rural,109954,10911,4915,3271,1087,109652,2874
UPPER DIR DISTRICT,Urban,5787,739,1511,1616,473,5728,828
MALAKAND PROTECTED AREA,Rural,78843,3718,20911,3742,2907,78021,7376
MALAKAND PROTECTED AREA,Urban,8319,265,3376,597,592,8268,1441
KHYBER AGENCY,Rural,93486,37468,8613,9837,3293,80249,5167
KHYBER AGENCY,Urban,11592,3430,2011,2995,162,11480,1205
KURRAM AGENCY,Rural,55651,36566,20248,2323,3943,45003,3403
KURRAM AGENCY,Urban,3960,1907,1659,631,632,3859,661
MOHMAND AGENCY,Rural,44272,16676,3124,2228,2188,40866,1003
MOHMAND AGENCY,Urban,,,,,,,
NORTH WAZIRISTAN AGENCY,Rural,37635,30858,4359,2684,5888,13762,1522
NORTH WAZIRISTAN AGENCY,Urban,269,64,239,24,213,8,200
ORAKZAI AGENCY,Rural,24545,17258,2789,564,8606,14795,580
ORAKZAI AGENCY,Urban,,,,,,,
SOUTH WAZIRISTAN AGENCY,Rural,42488,35412,5023,1755,2536,7854,796
SOUTH WAZIRISTAN AGENCY,Urban,,,,,,,
BAJAUR AGENCY,Rural,118098,59367,5715,5146,3896,115177,3322
BAJAUR AGENCY,Urban,,,,,,,
FR BANNU,Rural,3693,1418,151,53,180,3504,32
FR BANNU,Urban,,,,,,,
FR D.I.KHAN,Rural,4438,2044,624,249,532,3419,274
FR D.I.KHAN,Urban,,,,,,,
FR KOHAT,Rural,11560,3446,978,762,1580,9952,809
FR KOHAT,Urban,,,,,,,
FR LAKKI MARWAT,Rural,3063,1144,162,26,66,2852,32
FR LAKKI MARWAT,Urban,,,,,,,
FR PESHAWAR,Rural,6733,3062,1082,364,247,6367,305
FR PESHAWAR,Urban,,,,,,,
FR TANK,Rural,2537,1277,521,59,343,1693,35
FR TANK,Urban,,,,,,,
ATTOCK DISTRICT,Rural,218957,10969,148905,6900,4649,216021,20166
ATTOCK DISTRICT,Urban,76436,3605,64502,3604,7541,75747,19595
CHAKWAL DISTRICT,Rural,209221,7441,148783,6471,8082,205595,17548
CHAKWAL DISTRICT,Urban,47697,1473,39495,3877,5781,47097,8673
JHELUM DISTRICT,Rural,142117,5323,112084,4457,10911,140310,15852
JHELUM DISTRICT,Urban,57884,1852,52667,3064,11018,57062,13445
RAWALPINDI DISTRICT,Rural,387252,26114,315435,24858,30118,382252,68627
RAWALPINDI DISTRICT,Urban,486340,38394,434598,53523,75807,481095,158444
BHAKKAR DISTRICT,Rural,211688,3125,93177,3944,1455,208796,7307
BHAKKAR DISTRICT,Urban,40964,867,30186,2036,1440,40405,4998
KHUSHAB DISTRICT,Rural,144837,5037,81577,5522,1723,143053,8873
KHUSHAB DISTRICT,Urban,56831,1100,45011,1732,2270,56179,8146
SARGODHA DISTRICT,Rural,398818,8967,251563,13134,5734,393344,26042
SARGODHA DISTRICT,Urban,174594,6622,149162,14003,13382,172541,32789
MIANWALI DISTRICT,Rural,180075,9636,115085,4578,4012,177231,11436
MIANWALI DISTRICT,Urban,50273,2754,42711,2137,2052,49525,6484
GUJRANWALA DISTRICT,Rural,294551,3593,220806,8384,6968,290793,26507
GUJRANWALA DISTRICT,Urban,442280,9630,386615,26603,40183,436691,76972
GUJRAT DISTRICT,Rural,300298,9302,235736,11882,22651,296936,36753
GUJRAT DISTRICT,Urban,130913,2772,117311,9029,18826,129389,29132
HAFIZABAD DISTRICT,Rural,108842,1270,64709,3016,1432,107440,7633
HAFIZABAD DISTRICT,Urban,60109,1260,48705,4841,3104,59370,8872
MANDI BAHAUDDIN DISTRICT,Rural,195389,7909,131708,5989,5094,193569,18578
MANDI BAHAUDDIN DISTRICT,Urban,52032,1823,44794,3567,5481,51504,10538
NAROWAL DISTRICT,Rural,196725,4692,135532,8990,3364,194834,12145
NAROWAL DISTRICT,Urban,39058,1624,32445,5338,2325,38725,7394
SIALKOT DISTRICT,Rural,394586,20186,324487,24953,26375,389095,55529
SIALKOT DISTRICT,Urban,171733,8612,157259,16977,27292,169976,43783
LAHORE DISTRICT,Rural,,,,,,,
LAHORE DISTRICT,Urban,1734155,144352,1560389,188707,211437,1714475,472351
KASUR DISTRICT,Rural,365874,11123,188115,6224,3300,361074,17600
KASUR DISTRICT,Urban,136719,4036,110902,4344,4322,134897,13850
NANKANA SAHIB DISTRICT,Rural,168548,2553,115667,3729,1810,165945,10108
NANKANA SAHIB DISTRICT,Urban,39119,1997,33873,2974,1963,38689,5516
SHEIKHUPURA DISTRICT,Rural,326305,11178,255933,5137,3984,320979,20691
SHEIKHUPURA DISTRICT,Urban,181428,11898,162364,7188,6891,179027,25717
FAISALABAD DISTRICT,Rural,597301,15607,434938,26249,13689,586546,50682
FAISALABAD DISTRICT,Urban,580723,33584,517892,61916,54356,573477,116117
CHINIOT DISTRICT,Rural,133988,1792,60250,4260,793,131585,6152
CHINIOT DISTRICT,Urban,66289,1028,52991,7355,4736,65259,12402
JHANG DISTRICT,Rural,301711,6422,96842,7286,2725,298950,10918
JHANG DISTRICT,Urban,92770,2139,72613,9189,5610,91049,15418
TOBA TEK SINGH DISTRICT,Rural,257586,5304,173248,11690,6481,253846,21268
TOBA TEK SINGH DISTRICT,Urban,69486,1904,61192,8349,6742,68598,13415
SAHIWAL DISTRICT,Rural,292897,8509,205771,14796,3788,287232,20635
SAHIWAL DISTRICT,Urban,81591,4359,74778,12851,8846,80541,19509
OKARA DISTRICT,Rural,331995,4711,201251,10623,3159,325796,16017
OKARA DISTRICT,Urban,129925,3471,108781,13168,8137,128218,20781
PAKPATTAN DISTRICT,Rural,238358,9074,149643,12859,2191,232649,12437
PAKPATTAN DISTRICT,Urban,47637,4812,41956,9043,3172,46910,10668
BAHAWALNAGAR DISTRICT,Rural,353167,4740,161289,4605,2088,349247,14060
BAHAWALNAGAR DISTRICT,Urban,99587,2378,74125,4202,4462,98485,14069
BAHAWALPUR DISTRICT,Rural,356995,9118,134928,7800,2109,352715,13556
BAHAWALPUR DISTRICT,Urban,183337,6747,134875,13854,10845,180646,32018
RAHIM YAR KHAN DISTRICT,Rural,502188,9150,243438,8166,3807,495149,20488
RAHIM YAR KHAN DISTRICT,Urban,161058,3704,128701,8665,8302,159014,27799
DERA GHAZI KHAN DISTRICT,Rural,247995,21314,65419,9818,3378,245356,9770
DERA GHAZI KHAN DISTRICT,Urban,70579,2320,51972,7089,3044,69722,11486
RAJANPUR DISTRICT,Rural,187413,8034,41072,4056,1071,185368,4880
RAJANPUR DISTRICT,Urban,44142,737,32359,1899,801,43265,4326
LAYYAH DISTRICT,Rural,218678,8066,87936,9623,1377,216265,9322
LAYYAH DISTRICT,Urban,48381,3103,32974,4178,2148,47909,7412
MUZAFFARGARH DISTRICT,Rural,500185,21754,182337,24240,4529,491811,14154
MUZAFFARGARH DISTRICT,Urban,104398,3145,70325,9391,3117,102911,11251
MULTAN DISTRICT,Rural,401590,10694,214064,15067,4966,395510,18981
MULTAN DISTRICT,Urban,325941,16493,281421,37769,23963,321340,60383
KHANEWAL DISTRICT,Rural,352316,8731,150439,17069,3328,348992,17074
KHANEWAL DISTRICT,Urban,92583,2501,69545,8797,4667,91538,15200
LODHRAN DISTRICT,Rural,206933,6570,92940,6860,909,204555,8108
