district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
BANNU DISTRICT,BANNU TEHSIL,98138,7972,14454,5309,2643,97291,8354
BANNU DISTRICT,DOMEL TEHSIL,17170,1925,1775,1434,662,17106,1062
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,65054,3912,11244,2620,561,64733,4175
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,28267,2987,4713,827,272,28099,1857
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,13471,1728,1976,903,390,13375,713
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,86582,5127,49511,3735,5627,85597,12401
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,11617,716,2064,164,80,11550,375
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,45172,2298,21371,773,402,44565,2700
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,32282,1881,6812,649,140,32088,983
TANK DISTRICT,TANK TEHSIL,40636,4426,6389,1947,511,40396,2528
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,156504,10313,99859,10996,11129,155041,23341
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,53309,2843,30804,3258,1712,52839,4447
BATAGRAM DISTRICT,ALLAI TEHSIL,24809,2513,1202,2116,609,24600,1282
BATAGRAM DISTRICT,BATAGRAM TEHSIL,40722,2776,4369,2766,264,40635,2058
HARIPUR DISTRICT,GHAZI TEHSIL,23504,1912,14113,1599,1361,23293,3150
HARIPUR DISTRICT,HARIPUR TEHSIL,133880,11171,94384,19173,10275,132221,20105
MANSEHRA DISTRICT,BALA KOT TEHSIL,43595,3311,12678,3642,414,43301,3768
MANSEHRA DISTRICT,MANSEHRA TEHSIL,146820,4100,66640,7932,5492,144887,14825
MANSEHRA DISTRICT,OGHI TEHSIL,35776,1536,10980,2503,446,35567,1789
TORGHAR DISTRICT,JUDBA TEHSIL,13961,1469,258,87,81,13857,217
TORGHAR DISTRICT,KHANDER TEHSIL,10806,2052,280,129,29,10737,134
HANGU DISTRICT,HANGU TEHSIL,23969,2675,5881,856,1572,23536,2097
HANGU DISTRICT,TALL TEHSIL,21574,5610,2903,779,1184,21492,1617
KARAK DISTRICT,BANDA DAUD SHAH TEHSIL,16137,1465,3180,491,293,16038,1116
KARAK DISTRICT,KARAK TEHSIL,30178,3993,7235,2237,458,29873,2024
KARAK DISTRICT,TAKHT-E-NASRATI TEHSIL,24048,2024,2784,2005,345,23919,1623
KOHAT DISTRICT,KOHAT TEHSIL,96831,6054,38553,3817,4097,95377,11229
KOHAT DISTRICT,LACHI TEHSIL,18211,649,3351,301,277,17977,932
MARDAN DISTRICT,KATLANG TEHSIL,40403,2150,11530,2135,338,40252,3706
MARDAN DISTRICT,MARDAN TEHSIL,171904,13488,68846,16385,6601,170902,27774
MARDAN DISTRICT,TAKHT BHAI TEHSIL,88325,5497,24828,7575,1288,87821,8938
SWABI DISTRICT,LAHOR TEHSIL,37620,1468,9601,711,590,37419,3435
SWABI DISTRICT,RAZAR TEHSIL,73005,2379,18181,2502,1126,72642,6619
SWABI DISTRICT,SWABI TEHSIL,51266,3687,14116,2267,1550,50839,6238
SWABI DISTRICT,TOPI TEHSIL,42732,2420,10689,1492,1697,42488,4564
CHARSADDA DISTRICT,CHARSADDA TEHSIL,104435,14039,34379,12547,2464,103523,10747
CHARSADDA DISTRICT,SHABQADAR TEHSIL,47753,4964,7650,2502,689,47475,2746
CHARSADDA DISTRICT,TANGI TEHSIL,57414,12008,12398,8591,1307,56985,7203
NOWSHERA DISTRICT,JEHANGIRA TEHSIL,43028,2064,20979,2771,615,42479,5587
NOWSHERA DISTRICT,NOWSHERA TEHSIL,90924,6123,46459,8311,3537,89968,15062
NOWSHERA DISTRICT,PABBI TEHSIL,55442,4823,30234,7546,1909,54886,8112
PESHAWAR DISTRICT,PESHAWAR TEHSIL,483940,53015,243817,54564,37504,479705,91656
BUNER DISTRICT,DAGGAR TEHSIL,32954,3807,3713,2269,1602,32841,2626
BUNER DISTRICT,GAGRA TEHSIL,26051,1531,2865,1078,488,25976,1929
BUNER DISTRICT,KHADO KHEL TEHSIL,13630,558,930,187,317,13595,609
BUNER DISTRICT,MANDANR TEHSIL,17074,1675,1512,840,171,17035,1256
CHITRAL DISTRICT,CHITRAL SUB-DIVISION,34794,6476,14915,2490,3255,33791,4470
CHITRAL DISTRICT,MASTUJ SUB-DIVISION,21456,5595,7875,268,4496,21055,2185
SHANGLA DISTRICT,ALPURI TEHSIL,59311,8293,4490,1323,2030,58865,2162
SHANGLA DISTRICT,BISHAM TEHSIL,12226,1245,778,439,346,12131,429
SHANGLA DISTRICT,PURAN TEHSIL,14408,1119,1221,131,156,14350,404
SWAT DISTRICT,BABUZAI TEHSIL,71624,2504,30561,4319,5616,71133,10101
SWAT DISTRICT,BARIKOT TEHSIL,22151,1581,4919,2239,1061,22085,2853
SWAT DISTRICT,BEHRAIN TEHSIL,29018,1924,3335,920,241,28843,1127
SWAT DISTRICT,CHARBAGH TEHSIL,14868,623,2712,656,383,14820,1052
SWAT DISTRICT,KABAL TEHSIL,46577,2777,10814,1394,1601,46407,5313
SWAT DISTRICT,KHAWAZAKHELA TEHSIL,30749,4380,4281,1010,1027,30509,1979
SWAT DISTRICT,MATTA TEHSIL,51045,6172,6099,1377,2048,50873,4221
LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,36144,2027,6896,2204,613,36043,3326
LOWER DIR DISTRICT,LAL QILA SUB-DIVISION,24326,7256,2687,1761,652,24234,4575
LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,35904,7515,4439,2988,989,35699,2343
LOWER DIR DISTRICT,TEMERGARA SUB-DIVISION,55295,7982,11180,3731,1598,55072,5236
UPPER DIR DISTRICT,DIR SUB-DIVISION,53438,5974,4307,4024,1053,53261,2306
UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,23453,2547,591,422,271,23346,601
UPPER DIR DISTRICT,WARI SUB-DIVISION,38850,3129,1528,441,236,38773,795
MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,37290,1909,11231,2112,889,37136,4295
MALAKAND PROTECTED AREA,SWAT RANI ZAI SUB-DIVISION,49872,2074,13056,2227,2610,49153,4522
KHYBER AGENCY,BARA TEHSIL,48800,20101,3411,4789,1041,38463,2727
KHYBER AGENCY,JAMRUD TEHSIL,25704,8353,3279,3319,276,25461,2240
KHYBER AGENCY,LANDI KOTAL TEHSIL,26911,11721,3091,4506,2019,24196,1295
KHYBER AGENCY,MULLA GORI TEHSIL,3663,723,843,218,119,3609,110
KURRAM AGENCY,CENTRAL KURRAM F.R,20558,16280,1262,450,1628,10511,562
KURRAM AGENCY,LOWER KURRAM TEHSIL,13727,8057,4390,1132,886,13414,1281
KURRAM AGENCY,UPPER KURRAM TEHSIL,25326,14136,16255,1372,2061,24937,2221
MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,5939,2053,51,22,113,5554,92
MOHMAND AGENCY,HALIM ZAI TEHSIL,8428,2793,888,1072,730,7885,310
MOHMAND AGENCY,PINDIALI TEHSIL,7980,3348,516,74,296,7604,92
MOHMAND AGENCY,PRANG GHAR TEHSIL,3964,595,155,83,26,3939,56
MOHMAND AGENCY,SAFI TEHSIL,7413,3833,565,530,543,6902,92
MOHMAND AGENCY,UPPER MOHMAND TEHSIL,4693,3019,211,325,437,3449,180
MOHMAND AGENCY,YAKE GHUND TEHSIL,5855,1035,738,122,43,5533,181
NORTH WAZIRISTAN AGENCY,DATTA KHEL TEHSIL,5693,5387,801,99,610,573,114
NORTH WAZIRISTAN AGENCY,DOSSALI TEHSIL,2650,2598,179,37,26,30,5
NORTH WAZIRISTAN AGENCY,GHARYUM TEHSIL,1220,1207,40,7,,138,1
NORTH WAZIRISTAN AGENCY,GHULAM KHAN TEHSIL,2035,1659,79,31,29,491,18
NORTH WAZIRISTAN AGENCY,MIR ALI TEHSIL,13627,10208,1955,1944,2490,7137,703
NORTH WAZIRISTAN AGENCY,MIRAN SHAH TEHSIL,5132,3866,979,283,650,1338,584
NORTH WAZIRISTAN AGENCY,RAZMAK TEHSIL,1351,1222,209,106,197,39,29
NORTH WAZIRISTAN AGENCY,SHEWA TEHSIL,3556,2702,227,167,1500,2925,238
NORTH WAZIRISTAN AGENCY,SPINWAM TEHSIL,2640,2073,129,34,599,1099,30
ORAKZAI AGENCY,CENTRAL TEHSIL,5478,3674,78,133,2186,4401,110
ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,1787,1180,65,36,278,1206,40
ORAKZAI AGENCY,LOWER TEHSIL,10461,6255,2623,348,5640,6873,415
ORAKZAI AGENCY,UPPER TEHSIL,6819,6149,23,47,502,2315,15
SOUTH WAZIRISTAN AGENCY,BIRMIL TEHSIL,4270,3652,950,147,335,211,116
SOUTH WAZIRISTAN AGENCY,LADHA TEHSIL,9918,7885,312,136,137,2397,80
