district,tehsil,localities,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
BANNU DISTRICT,BANNU TEHSIL,Rural,92227,7731,11027,4452,1793,91428,6822
BANNU DISTRICT,BANNU TEHSIL,Urban,5911,241,3427,857,850,5863,1532
BANNU DISTRICT,DOMEL TEHSIL,Rural,17170,1925,1775,1434,662,17106,1062
BANNU DISTRICT,DOMEL TEHSIL,Urban,,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,57403,3615,7171,1771,279,57157,2869
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,7651,297,4073,849,282,7576,1306
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,25240,2814,3721,521,240,25079,1414
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Urban,3027,173,992,306,32,3020,443
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,Rural,13471,1728,1976,903,390,13375,713
DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,Urban,0,,,,,,
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,Rural,54673,3614,23286,1464,1137,54178,4726
DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,Urban,31909,1513,26225,2271,4490,31419,7675
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,Rural,8193,449,509,51,17,8150,78
DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,Urban,3424,267,1555,113,63,3400,297
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,Rural,36475,1919,16805,513,298,35960,1878
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,Urban,8697,379,4566,260,104,8605,822
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,Rural,27489,1651,4811,377,104,27350,755
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,Urban,4793,230,2001,272,36,4738,228
TANK DISTRICT,TANK TEHSIL,Rural,35042,4111,3856,1566,357,34851,1697
TANK DISTRICT,TANK TEHSIL,Urban,5594,315,2533,381,154,5545,831
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,Rural,119589,8272,68314,5862,4356,118531,11402
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,Urban,36915,2041,31545,5134,6773,36510,11939
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,Rural,46249,2536,25359,1815,814,45835,2266
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,Urban,7060,307,5445,1443,898,7004,2181
BATAGRAM DISTRICT,ALLAI TEHSIL,Rural,24809,2513,1202,2116,609,24600,1282
BATAGRAM DISTRICT,ALLAI TEHSIL,Urban,,,,,,,
BATAGRAM DISTRICT,BATAGRAM TEHSIL,Rural,40722,2776,4369,2766,264,40635,2058
